iTest	taille	min	max	nom_tri	type_tab	indexChange	premierType	deuximeType	temps	mem
1	222813	-10000	10000	fusion	m	15263	c	a	0.12	4856
1	222813	-10000	10000	rapide	m	15263	c	a	0.07	3320
1	222813	-10000	10000	radix	m	15263	c	a	0.09	4740
2	514531	-10000	10000	fusion	m	371204	c	a	0.23	9404
2	514531	-10000	10000	rapide	m	371204	c	a	0.14	5628
2	514531	-10000	10000	radix	m	371204	c	a	0.18	9388
3	616549	-10000	10000	fusion	m	82911	c	a	0.32	10940
3	616549	-10000	10000	rapide	m	82911	c	a	0.21	6728
3	616549	-10000	10000	radix	m	82911	c	a	0.22	10888
4	522244	-10000	10000	fusion	m	212721	c	a	0.25	9760
4	522244	-10000	10000	rapide	m	212721	c	a	0.17	5944
4	522244	-10000	10000	radix	m	212721	c	a	0.19	9596
5	812786	-10000	10000	fusion	m	722496	c	a	0.33	14272
5	812786	-10000	10000	rapide	m	722496	c	a	0.23	7992
5	812786	-10000	10000	radix	m	722496	c	a	0.28	13992
6	778454	-10000	10000	fusion	m	663619	c	a	0.35	13556
6	778454	-10000	10000	rapide	m	663619	c	a	0.23	7728
6	778454	-10000	10000	radix	m	663619	c	a	0.28	13452
7	354003	-10000	10000	fusion	m	206443	c	a	0.16	7224
7	354003	-10000	10000	rapide	m	206443	c	a	0.11	4508
7	354003	-10000	10000	radix	m	206443	c	a	0.13	6808
8	869789	-10000	10000	fusion	m	513916	c	a	0.42	15196
8	869789	-10000	10000	rapide	m	513916	c	a	0.27	8480
8	869789	-10000	10000	radix	m	513916	c	a	0.29	15008
9	690017	-10000	10000	fusion	m	607369	c	a	0.31	12564
9	690017	-10000	10000	rapide	m	607369	c	a	0.20	7260
9	690017	-10000	10000	radix	m	607369	c	a	0.22	12124
10	147174	-10000	10000	fusion	m	133765	c	a	0.07	3820
10	147174	-10000	10000	rapide	m	133765	c	a	0.04	2876
10	147174	-10000	10000	radix	m	133765	c	a	0.06	3696
11	926519	-10000	10000	fusion	m	73334	c	a	0.47	15868
11	926519	-10000	10000	rapide	m	73334	c	a	0.32	9052
11	926519	-10000	10000	radix	m	73334	c	a	0.32	15976
12	794258	-10000	10000	fusion	m	762374	c	a	0.33	14072
12	794258	-10000	10000	rapide	m	762374	c	a	0.21	7936
12	794258	-10000	10000	radix	m	762374	c	a	0.26	13988
13	614644	-10000	10000	fusion	m	177958	c	a	0.30	11108
13	614644	-10000	10000	rapide	m	177958	c	a	0.20	6524
13	614644	-10000	10000	radix	m	177958	c	a	0.22	10892
14	320758	-10000	10000	fusion	m	30528	c	a	0.16	6472
14	320758	-10000	10000	rapide	m	30528	c	a	0.10	4144
14	320758	-10000	10000	radix	m	30528	c	a	0.12	6344
15	3015	-10000	10000	fusion	m	1715	c	a	0.00	2144
15	3015	-10000	10000	rapide	m	1715	c	a	0.00	2148
15	3015	-10000	10000	radix	m	1715	c	a	0.00	2288
16	79264	-10000	10000	fusion	m	16833	c	a	0.05	2684
16	79264	-10000	10000	rapide	m	16833	c	a	0.02	2400
16	79264	-10000	10000	radix	m	16833	c	a	0.03	2660
17	934373	-10000	10000	fusion	m	859373	c	a	0.39	16136
17	934373	-10000	10000	rapide	m	859373	c	a	0.29	9008
17	934373	-10000	10000	radix	m	859373	c	a	0.31	15976
18	635502	-10000	10000	fusion	m	471475	c	a	0.29	11476
18	635502	-10000	10000	rapide	m	471475	c	a	0.18	6796
18	635502	-10000	10000	radix	m	471475	c	a	0.22	11484
19	426688	-10000	10000	fusion	m	29201	c	a	0.24	8112
19	426688	-10000	10000	rapide	m	29201	c	a	0.14	5204
19	426688	-10000	10000	radix	m	29201	c	a	0.17	8064
20	387616	-10000	10000	fusion	m	291873	c	a	0.18	7332
20	387616	-10000	10000	rapide	m	291873	c	a	0.11	4764
20	387616	-10000	10000	radix	m	291873	c	a	0.14	7408
21	645296	-10000	10000	fusion	m	119328	c	a	0.33	11436
21	645296	-10000	10000	rapide	m	119328	c	a	0.21	6732
21	645296	-10000	10000	radix	m	119328	c	a	0.23	11404
22	615851	-10000	10000	fusion	m	215110	c	a	0.30	10792
22	615851	-10000	10000	rapide	m	215110	c	a	0.19	6732
22	615851	-10000	10000	radix	m	215110	c	a	0.21	10964
23	101381	-10000	10000	fusion	m	4319	c	a	0.06	3048
23	101381	-10000	10000	rapide	m	4319	c	a	0.04	2636
23	101381	-10000	10000	radix	m	4319	c	a	0.04	3164
24	904023	-10000	10000	fusion	m	686621	c	a	0.41	15524
24	904023	-10000	10000	rapide	m	686621	c	a	0.29	8792
24	904023	-10000	10000	radix	m	686621	c	a	0.32	15468
25	699662	-10000	10000	fusion	m	336562	c	a	0.33	12420
25	699662	-10000	10000	rapide	m	336562	c	a	0.22	7176
25	699662	-10000	10000	radix	m	336562	c	a	0.25	12364
26	804269	-10000	10000	fusion	m	790127	c	a	0.33	13592
26	804269	-10000	10000	rapide	m	790127	c	a	0.21	8072
26	804269	-10000	10000	radix	m	790127	c	a	0.27	13948
27	395304	-10000	10000	fusion	m	375593	c	a	0.17	7564
27	395304	-10000	10000	rapide	m	375593	c	a	0.09	4972
