iTest	taille	min	max	nom_tri	type_tab	indexChange	premierType	deuximeType	temps	mem
11	218010	-10000	10000	i	m	7104	c	c	2.46	3456
11	218010	-10000	10000	x	m	7104	c	c	0.15	4716
11	218010	-10000	10000	r	m	7104	c	c	0.09	3368
11	218010	-10000	10000	f	m	7104	c	c	0.19	4664
24	64820	-10000	10000	i	m	32146	c	c	3.32	2388
24	64820	-10000	10000	x	m	32146	c	c	0.04	2380
24	64820	-10000	10000	r	m	32146	c	c	0.02	2368
24	64820	-10000	10000	f	m	32146	c	c	0.05	2524
18	110954	-10000	10000	i	m	75340	c	c	3.99	2652
18	110954	-10000	10000	x	m	75340	c	c	0.07	3172
18	110954	-10000	10000	r	m	75340	c	c	0.05	2656
18	110954	-10000	10000	f	m	75340	c	c	0.09	3044
29	937141	-10000	10000	i	m	934312	c	c	9.39	9044
30	131733	-10000	10000	i	m	48728	c	c	9.45	2916
30	131733	-10000	10000	x	m	48728	c	c	0.07	3428
30	131733	-10000	10000	r	m	48728	c	c	0.04	2904
30	131733	-10000	10000	f	m	48728	c	c	0.13	3408
29	937141	-10000	10000	x	m	934312	c	c	0.52	16044
29	937141	-10000	10000	r	m	934312	c	c	0.42	9028
29	937141	-10000	10000	f	m	934312	c	c	0.87	16052
13	526445	-10000	10000	i	m	517491	c	c	17.83	5996
3	195384	-10000	10000	i	m	155119	c	c	18.25	3336
13	526445	-10000	10000	x	m	517491	c	c	0.36	9716
16	796138	-10000	10000	i	m	788182	c	c	18.23	7936
3	195384	-10000	10000	x	m	155119	c	c	0.10	4468
3	195384	-10000	10000	r	m	155119	c	c	0.07	3424
13	526445	-10000	10000	r	m	517491	c	c	0.20	6004
3	195384	-10000	10000	f	m	155119	c	c	0.11	4628
16	796138	-10000	10000	x	m	788182	c	c	0.40	13976
13	526445	-10000	10000	f	m	517491	c	c	0.32	9680
16	796138	-10000	10000	r	m	788182	c	c	0.28	8008
16	796138	-10000	10000	f	m	788182	c	c	0.72	13904
5	168179	-10000	10000	i	m	86617	c	c	22.03	3192
5	168179	-10000	10000	x	m	86617	c	c	0.08	4236
5	168179	-10000	10000	r	m	86617	c	c	0.05	3112
5	168179	-10000	10000	f	m	86617	c	c	0.14	3996
23	264755	-10000	10000	i	m	145854	c	c	27.09	3960
23	264755	-10000	10000	x	m	145854	c	c	0.19	5552
23	264755	-10000	10000	r	m	145854	c	c	0.12	3956
23	264755	-10000	10000	f	m	145854	c	c	0.22	5692
19	236840	-10000	10000	i	m	128885	c	c	36.90	3696
19	236840	-10000	10000	x	m	128885	c	c	0.12	5264
19	236840	-10000	10000	r	m	128885	c	c	0.08	3640
19	236840	-10000	10000	f	m	128885	c	c	0.14	5412
20	355095	-10000	10000	i	m	59362	c	c	42.80	4408
20	355095	-10000	10000	x	m	59362	c	c	0.24	7080
20	355095	-10000	10000	r	m	59362	c	c	0.16	4500
20	355095	-10000	10000	f	m	59362	c	c	0.32	6832
28	365429	-10000	10000	i	m	59704	c	c	44.62	4768
28	365429	-10000	10000	x	m	59704	c	c	0.19	7320
28	365429	-10000	10000	r	m	59704	c	c	0.13	4772
28	365429	-10000	10000	f	m	59704	c	c	0.22	7220
6	490728	-10000	10000	i	m	415132	c	c	50.66	5736
6	490728	-10000	10000	x	m	415132	c	c	0.21	9116
6	490728	-10000	10000	r	m	415132	c	c	0.15	5672
6	490728	-10000	10000	f	m	415132	c	c	0.27	9092
27	451723	-10000	10000	i	m	86316	c	c	66.44	5184
27	451723	-10000	10000	x	m	86316	c	c	0.19	8392
27	451723	-10000	10000	r	m	86316	c	c	0.18	5656
27	451723	-10000	10000	f	m	86316	c	c	0.30	9008
14	904721	-10000	10000	i	m	35439	c	c	90.08	8660
14	904721	-10000	10000	x	m	35439	c	c	0.41	15520
14	904721	-10000	10000	r	m	35439	c	c	0.31	8676
14	904721	-10000	10000	f	m	35439	c	c	0.46	15736
25	842919	-10000	10000	i	m	62389	c	c	91.99	8600
25	842919	-10000	10000	x	m	62389	c	c	0.36	14780
25	842919	-10000	10000	r	m	62389	c	c	0.28	8200
25	842919	-10000	10000	f	m	62389	c	c	0.43	14764
26	535806	-10000	10000	i	m	380821	c	c	102.04	5460
26	535806	-10000	10000	x	m	380821	c	c	0.22	9876
26	535806	-10000	10000	r	m	380821	c	c	0.16	5996
26	535806	-10000	10000	f	m	380821	c	c	0.29	9920
7	486605	-10000	10000	i	m	240657	c	c	111.11	5808
7	486605	-10000	10000	x	m	240657	c	c	0.21	8832
7	486605	-10000	10000	r	m	240657	c	c	0.14	5944
7	486605	-10000	10000	f	m	240657	c	c	0.25	9484
10	603068	-10000	10000	i	m	408524	c	c	132.25	6476
10	603068	-10000	10000	x	m	408524	c	c	0.24	10884
10	603068	-10000	10000	r	m	408524	c	c	0.18	6352
10	603068	-10000	10000	f	m	408524	c	c	0.31	10892
1	684885	-10000	10000	i	m	537601	c	c	146.76	7260
1	684885	-10000	10000	x	m	537601	c	c	0.27	11932
15	842971	-10000	10000	i	m	703251	c	c	147.27	8284
1	684885	-10000	10000	r	m	537601	c	c	0.20	7180
15	842971	-10000	10000	x	m	703251	c	c	0.33	14392
1	684885	-10000	10000	f	m	537601	c	c	0.35	12312
15	842971	-10000	10000	r	m	703251	c	c	0.30	8332
15	842971	-10000	10000	f	m	703251	c	c	0.42	14668
22	593529	-10000	10000	i	m	339335	c	c	157.26	6452
22	593529	-10000	10000	x	m	339335	c	c	0.26	10896
22	593529	-10000	10000	r	m	339335	c	c	0.20	6548
22	593529	-10000	10000	f	m	339335	c	c	0.30	10904
17	754087	-10000	10000	i	m	559541	c	c	189.68	7688
17	754087	-10000	10000	x	m	559541	c	c	0.27	13204
17	754087	-10000	10000	r	m	559541	c	c	0.23	7788
17	754087	-10000	10000	f	m	559541	c	c	0.37	13232
9	700218	-10000	10000	i	m	365512	c	c	204.92	7276
9	700218	-10000	10000	x	m	365512	c	c	0.27	12420
9	700218	-10000	10000	r	m	365512	c	c	0.20	7176
9	700218	-10000	10000	f	m	365512	c	c	0.32	12492
12	768356	-10000	10000	i	m	524623	c	c	214.76	7796
12	768356	-10000	10000	x	m	524623	c	c	0.33	13444
12	768356	-10000	10000	r	m	524623	c	c	0.22	7724
12	768356	-10000	10000	f	m	524623	c	c	0.36	13496
2	739952	-10000	10000	i	m	438723	c	c	229.54	7452
2	739952	-10000	10000	x	m	438723	c	c	0.24	13008
2	739952	-10000	10000	r	m	438723	c	c	0.21	7508
2	739952	-10000	10000	f	m	438723	c	c	0.31	12928
21	870645	-10000	10000	i	m	588901	c	c	269.97	8468
21	870645	-10000	10000	x	m	588901	c	c	0.29	14992
21	870645	-10000	10000	r	m	588901	c	c	0.25	8596
21	870645	-10000	10000	f	m	588901	c	c	0.38	14976
4	941300	-10000	10000	i	m	663875	c	c	280.83	9044
4	941300	-10000	10000	x	m	663875	c	c	0.32	16024
4	941300	-10000	10000	r	m	663875	c	c	0.27	9104
4	941300	-10000	10000	f	m	663875	c	c	0.41	16244
8	886902	-10000	10000	i	m	450601	c	c	305.16	8852
8	886902	-10000	10000	x	m	450601	c	c	0.29	15580
8	886902	-10000	10000	r	m	450601	c	c	0.24	8728
8	886902	-10000	10000	f	m	450601	c	c	0.37	15288
