iTest	taille	min	max	nom_tri	type_tab	indexChange	premierType	deuximeType	temps	mem
1	792554	-10000	10000	fusion	m	769629	c	u	0.33	13940
1	792554	-10000	10000	insertion	m	769629	c	u	26.30	8072
2	308207	-10000	10000	fusion	m	58121	c	u	0.13	6308
2	308207	-10000	10000	insertion	m	58121	c	u	28.17	4168
3	99003	-10000	10000	fusion	m	27163	c	u	0.05	3024
3	99003	-10000	10000	insertion	m	27163	c	u	3.69	2560
4	310582	-10000	10000	fusion	m	278060	c	u	0.13	6196
4	310582	-10000	10000	insertion	m	278060	c	u	14.34	4224
5	343133	-10000	10000	fusion	m	25927	c	u	0.14	6732
5	343133	-10000	10000	insertion	m	25927	c	u	14.61	4488
6	689828	-10000	10000	fusion	m	311289	c	u	0.29	12564
6	689828	-10000	10000	insertion	m	311289	c	u	179.65	7144
7	262416	-10000	10000	fusion	m	14454	c	u	0.11	5524
7	262416	-10000	10000	insertion	m	14454	c	u	3.55	3900
8	949576	-10000	10000	fusion	m	663803	c	u	0.40	16492
8	949576	-10000	10000	insertion	m	663803	c	u	279.37	9324
9	253032	-10000	10000	fusion	m	26730	c	u	0.11	5252
9	253032	-10000	10000	insertion	m	26730	c	u	10.99	3688
10	156889	-10000	10000	fusion	m	73727	c	u	0.07	3752
10	156889	-10000	10000	insertion	m	73727	c	u	10.55	3368
11	430317	-10000	10000	fusion	m	19657	c	u	0.18	8324
11	430317	-10000	10000	insertion	m	19657	c	u	11.67	5152
12	803393	-10000	10000	fusion	m	346724	c	u	0.33	13828
12	803393	-10000	10000	insertion	m	346724	c	u	235.19	7916
13	387541	-10000	10000	fusion	m	255861	c	u	0.15	7620
13	387541	-10000	10000	insertion	m	255861	c	u	51.87	4752
14	474327	-10000	10000	fusion	m	126057	c	u	0.20	9064
14	474327	-10000	10000	insertion	m	126057	c	u	66.74	5476
15	677335	-10000	10000	fusion	m	79957	c	u	0.28	11936
15	677335	-10000	10000	insertion	m	79957	c	u	85.20	7004
16	114559	-10000	10000	fusion	m	104872	c	u	0.06	3080
16	114559	-10000	10000	insertion	m	104872	c	u	1.57	2548
17	327454	-10000	10000	fusion	m	156416	c	u	0.13	6676
17	327454	-10000	10000	insertion	m	156416	c	u	42.70	4484
18	333553	-10000	10000	fusion	m	52360	c	u	0.14	6744
18	333553	-10000	10000	insertion	m	52360	c	u	26.00	4364
19	574652	-10000	10000	fusion	m	402680	c	u	0.24	10296
19	574652	-10000	10000	insertion	m	402680	c	u	101.40	6212
20	531857	-10000	10000	fusion	m	311867	c	u	0.22	9852
20	531857	-10000	10000	insertion	m	311867	c	u	103.17	6016
21	227772	-10000	10000	fusion	m	159712	c	u	0.11	5200
21	227772	-10000	10000	insertion	m	159712	c	u	17.70	3708
22	377627	-10000	10000	fusion	m	371983	c	u	0.16	7368
22	377627	-10000	10000	insertion	m	371983	c	u	3.25	4680
23	344130	-10000	10000	fusion	m	15015	c	u	0.14	6676
23	344130	-10000	10000	insertion	m	15015	c	u	5.18	4488
24	540447	-10000	10000	fusion	m	109048	c	u	0.23	10164
24	540447	-10000	10000	insertion	m	109048	c	u	73.78	6016
25	449615	-10000	10000	fusion	m	134611	c	u	0.18	8304
25	449615	-10000	10000	insertion	m	134611	c	u	70.38	5252
26	728350	-10000	10000	fusion	m	294844	c	u	0.32	12900
26	728350	-10000	10000	insertion	m	294844	c	u	195.31	7588
27	672806	-10000	10000	fusion	m	386405	c	u	0.27	11840
27	672806	-10000	10000	insertion	m	386405	c	u	161.96	7080
28	26976	-10000	10000	fusion	m	431	c	u	0.01	2332
28	26976	-10000	10000	insertion	m	431	c	u	0.03	2124
29	16339	-10000	10000	fusion	m	393	c	u	0.01	2516
29	16339	-10000	10000	insertion	m	393	c	u	0.02	2372
30	624751	-10000	10000	fusion	m	561551	c	u	0.25	11132
30	624751	-10000	10000	insertion	m	561551	c	u	51.93	6748
