iTest	taille	min	max	nom_tri	type_tab	temps	mem
2	15787	-100000	100000	rapide	croissant	0.00	4132
2	15787	-100000	100000	rapide	decroissant	0.00	2252
2	15787	-100000	100000	rapide	aleatoire	0.00	2300
2	15787	-100000	100000	insertion	croissant	0.01	2312
2	15787	-100000	100000	radix	croissant	0.01	2668
2	15787	-100000	100000	radix	aleatoire	0.01	2488
2	15787	-100000	100000	fusion	croissant	0.00	2432
2	15787	-100000	100000	fusion	decroissant	0.01	2668
2	15787	-100000	100000	fusion	aleatoire	0.01	2620
3	64355	-100000	100000	rapide	croissant	0.01	2852
3	64355	-100000	100000	rapide	decroissant	0.01	2932
2	15787	-100000	100000	radix	decroissant	0.01	2668
3	64355	-100000	100000	insertion	croissant	0.03	3024
3	64355	-100000	100000	radix	aleatoire	0.04	3288
3	64355	-100000	100000	rapide	aleatoire	0.02	2932
3	64355	-100000	100000	fusion	decroissant	0.05	3392
3	64355	-100000	100000	radix	decroissant	0.04	3360
3	64355	-100000	100000	radix	croissant	0.04	3356
3	64355	-100000	100000	fusion	croissant	0.05	3224
3	64355	-100000	100000	fusion	aleatoire	0.06	3252
4	274663	-100000	100000	rapide	croissant	0.07	6104
4	274663	-100000	100000	rapide	aleatoire	0.10	6088
6	179801	-100000	100000	rapide	croissant	0.04	4464
1	486123	-100000	100000	rapide	decroissant	0.13	9304
6	179801	-100000	100000	rapide	decroissant	0.04	4512
4	274663	-100000	100000	rapide	decroissant	0.07	6012
5	386004	-100000	100000	rapide	croissant	0.09	7796
4	274663	-100000	100000	insertion	croissant	0.15	6192
5	386004	-100000	100000	rapide	decroissant	0.09	7880
1	486123	-100000	100000	rapide	aleatoire	0.19	9440
6	179801	-100000	100000	insertion	croissant	0.09	4680
1	486123	-100000	100000	rapide	croissant	0.12	9464
6	179801	-100000	100000	radix	croissant	0.12	5564
8	189156	-100000	100000	rapide	croissant	0.04	4780
5	386004	-100000	100000	rapide	aleatoire	0.15	7856
6	179801	-100000	100000	rapide	aleatoire	0.06	4492
4	274663	-100000	100000	radix	decroissant	0.19	7856
6	179801	-100000	100000	radix	decroissant	0.12	5528
6	179801	-100000	100000	fusion	croissant	0.16	5872
8	189156	-100000	100000	rapide	decroissant	0.04	4768
10	160708	-100000	100000	rapide	croissant	0.03	4196
5	386004	-100000	100000	insertion	croissant	0.19	8072
4	274663	-100000	100000	radix	croissant	0.20	7940
10	160708	-100000	100000	rapide	decroissant	0.04	4252
10	160708	-100000	100000	rapide	aleatoire	0.06	4244
5	386004	-100000	100000	radix	croissant	0.26	10508
8	189156	-100000	100000	rapide	aleatoire	0.06	4780
6	179801	-100000	100000	fusion	decroissant	0.16	5876
6	179801	-100000	100000	radix	aleatoire	0.13	5628
4	274663	-100000	100000	fusion	aleatoire	0.30	8160
10	160708	-100000	100000	radix	croissant	0.11	5008
8	189156	-100000	100000	insertion	croissant	0.10	4892
1	486123	-100000	100000	radix	decroissant	0.35	12768
1	486123	-100000	100000	insertion	croissant	0.24	9500
4	274663	-100000	100000	radix	aleatoire	0.20	7900
4	274663	-100000	100000	fusion	croissant	0.25	8284
8	189156	-100000	100000	radix	croissant	0.12	5816
10	160708	-100000	100000	insertion	croissant	0.08	4448
6	179801	-100000	100000	fusion	aleatoire	0.20	5888
8	189156	-100000	100000	radix	decroissant	0.12	5808
10	160708	-100000	100000	radix	aleatoire	0.12	5028
10	160708	-100000	100000	radix	decroissant	0.11	5020
18	32996	-100000	100000	rapide	decroissant	0.00	2380
8	189156	-100000	100000	radix	aleatoire	0.14	5808
18	32996	-100000	100000	rapide	croissant	0.00	2396
7	730981	-100000	100000	rapide	croissant	0.19	13168
1	486123	-100000	100000	radix	croissant	0.34	12740
18	32996	-100000	100000	insertion	croissant	0.02	2624
18	32996	-100000	100000	rapide	aleatoire	0.01	2292
7	730981	-100000	100000	rapide	decroissant	0.19	13108
5	386004	-100000	100000	radix	aleatoire	0.27	10492
18	32996	-100000	100000	radix	decroissant	0.02	2588
4	274663	-100000	100000	fusion	decroissant	0.24	8160
18	32996	-100000	100000	radix	croissant	0.02	2624
18	32996	-100000	100000	radix	aleatoire	0.02	2624
1	486123	-100000	100000	radix	aleatoire	0.36	12732
18	32996	-100000	100000	fusion	croissant	0.03	2704
18	32996	-100000	100000	fusion	decroissant	0.02	2644
5	386004	-100000	100000	radix	decroissant	0.27	10420
8	189156	-100000	100000	fusion	croissant	0.16	6168
18	32996	-100000	100000	fusion	aleatoire	0.03	2628
8	189156	-100000	100000	fusion	aleatoire	0.20	6052
10	160708	-100000	100000	fusion	croissant	0.14	5420
10	160708	-100000	100000	fusion	decroissant	0.14	5268
8	189156	-100000	100000	fusion	decroissant	0.16	6100
10	160708	-100000	100000	fusion	aleatoire	0.17	5356
9	713446	-100000	100000	rapide	decroissant	0.19	12992
5	386004	-100000	100000	fusion	croissant	0.35	10708
22	128520	-100000	100000	rapide	decroissant	0.02	3644
22	128520	-100000	100000	rapide	croissant	0.03	3724
9	713446	-100000	100000	rapide	croissant	0.20	12888
15	468259	-100000	100000	rapide	decroissant	0.12	9120
15	468259	-100000	100000	rapide	croissant	0.11	9080
16	468914	-100000	100000	rapide	decroissant	0.11	9052
22	128520	-100000	100000	rapide	aleatoire	0.04	3568
5	386004	-100000	100000	fusion	decroissant	0.36	10692
24	129396	-100000	100000	rapide	croissant	0.03	3620
16	468914	-100000	100000	rapide	croissant	0.12	9096
17	404213	-100000	100000	rapide	croissant	0.09	8024
24	129396	-100000	100000	rapide	decroissant	0.03	3640
11	769474	-100000	100000	rapide	croissant	0.20	13612
22	128520	-100000	100000	insertion	croissant	0.07	3896
17	404213	-100000	100000	rapide	decroissant	0.11	7992
24	129396	-100000	100000	rapide	aleatoire	0.04	3644
2	15787	-100000	100000	insertion	aleatoire	0.45	2432
21	328226	-100000	100000	rapide	croissant	0.08	6772
20	351248	-100000	100000	rapide	decroissant	0.09	7352
20	351248	-100000	100000	rapide	croissant	0.09	7268
21	328226	-100000	100000	rapide	decroissant	0.08	6688
19	420945	-100000	100000	rapide	decroissant	0.10	8408
22	128520	-100000	100000	radix	decroissant	0.09	4240
17	404213	-100000	100000	rapide	aleatoire	0.14	8052
19	420945	-100000	100000	rapide	croissant	0.10	8288
24	129396	-100000	100000	insertion	croissant	0.06	3896
15	468259	-100000	100000	rapide	aleatoire	0.17	9052
9	713446	-100000	100000	rapide	aleatoire	0.27	13016
7	730981	-100000	100000	rapide	aleatoire	0.29	13264
22	128520	-100000	100000	radix	aleatoire	0.09	4240
11	769474	-100000	100000	rapide	decroissant	0.22	13740
1	486123	-100000	100000	fusion	croissant	0.44	12800
22	128520	-100000	100000	radix	croissant	0.09	4224
22	128520	-100000	100000	fusion	croissant	0.11	4652
22	128520	-100000	100000	fusion	decroissant	0.11	4580
5	386004	-100000	100000	fusion	aleatoire	0.43	10812
24	129396	-100000	100000	radix	croissant	0.08	4220
23	381395	-100000	100000	rapide	croissant	0.10	7800
16	468914	-100000	100000	rapide	aleatoire	0.18	9192
21	328226	-100000	100000	rapide	aleatoire	0.12	6748
23	381395	-100000	100000	rapide	decroissant	0.09	7872
20	351248	-100000	100000	rapide	aleatoire	0.13	7408
24	129396	-100000	100000	radix	aleatoire	0.08	4232
24	129396	-100000	100000	radix	decroissant	0.09	4212
1	486123	-100000	100000	fusion	decroissant	0.46	12940
17	404213	-100000	100000	insertion	croissant	0.21	8340
24	129396	-100000	100000	fusion	decroissant	0.10	4604
24	129396	-100000	100000	fusion	croissant	0.11	4624
12	956531	-100000	100000	rapide	croissant	0.25	16840
22	128520	-100000	100000	fusion	aleatoire	0.14	4648
19	420945	-100000	100000	rapide	aleatoire	0.16	8248
7	730981	-100000	100000	insertion	croissant	0.38	13284
12	956531	-100000	100000	rapide	decroissant	0.26	16820
14	904543	-100000	100000	rapide	decroissant	0.25	16048
15	468259	-100000	100000	insertion	croissant	0.23	9288
14	904543	-100000	100000	rapide	croissant	0.23	16060
24	129396	-100000	100000	fusion	aleatoire	0.14	4608
21	328226	-100000	100000	insertion	croissant	0.16	7260
13	922344	-100000	100000	rapide	decroissant	0.25	16232
13	922344	-100000	100000	rapide	croissant	0.25	16320
11	769474	-100000	100000	rapide	aleatoire	0.32	13724
23	381395	-100000	100000	rapide	aleatoire	0.15	7796
19	420945	-100000	100000	insertion	croissant	0.20	8604
20	351248	-100000	100000	insertion	croissant	0.19	7612
16	468914	-100000	100000	insertion	croissant	0.26	9364
25	653882	-100000	100000	rapide	decroissant	0.18	11888
25	653882	-100000	100000	rapide	croissant	0.17	11876
1	486123	-100000	100000	fusion	aleatoire	0.52	12852
9	713446	-100000	100000	insertion	croissant	0.38	13140
17	404213	-100000	100000	radix	decroissant	0.28	11016
21	328226	-100000	100000	radix	decroissant	0.24	9256
23	381395	-100000	100000	insertion	croissant	0.17	7856
15	468259	-100000	100000	radix	decroissant	0.31	12528
21	328226	-100000	100000	radix	aleatoire	0.24	9112
20	351248	-100000	100000	radix	croissant	0.25	9668
15	468259	-100000	100000	radix	croissant	0.32	12540
20	351248	-100000	100000	radix	decroissant	0.26	9696
17	404213	-100000	100000	radix	croissant	0.29	10964
11	769474	-100000	100000	insertion	croissant	0.40	13844
16	468914	-100000	100000	radix	croissant	0.32	12436
20	351248	-100000	100000	radix	aleatoire	0.25	9696
21	328226	-100000	100000	radix	croissant	0.22	9148
16	468914	-100000	100000	radix	decroissant	0.35	12280
7	730981	-100000	100000	radix	decroissant	0.49	18580
15	468259	-100000	100000	radix	aleatoire	0.35	12460
19	420945	-100000	100000	radix	aleatoire	0.31	11204
23	381395	-100000	100000	radix	decroissant	0.27	10440
17	404213	-100000	100000	radix	aleatoire	0.30	10988
7	730981	-100000	100000	radix	aleatoire	0.53	18392
19	420945	-100000	100000	radix	decroissant	0.28	11212
23	381395	-100000	100000	radix	aleatoire	0.26	10456
7	730981	-100000	100000	radix	croissant	0.51	18692
13	922344	-100000	100000	rapide	aleatoire	0.38	16312
21	328226	-100000	100000	fusion	decroissant	0.30	9256
14	904543	-100000	100000	rapide	aleatoire	0.38	16032
23	381395	-100000	100000	radix	croissant	0.26	10484
19	420945	-100000	100000	radix	croissant	0.28	11212
16	468914	-100000	100000	radix	aleatoire	0.33	12544
14	904543	-100000	100000	insertion	croissant	0.44	16240
20	351248	-100000	100000	fusion	decroissant	0.31	9768
21	328226	-100000	100000	fusion	croissant	0.29	9304
25	653882	-100000	100000	rapide	aleatoire	0.26	11944
15	468259	-100000	100000	fusion	croissant	0.42	12676
12	956531	-100000	100000	rapide	aleatoire	0.41	16840
13	922344	-100000	100000	insertion	croissant	0.45	16516
20	351248	-100000	100000	fusion	croissant	0.32	9784
17	404213	-100000	100000	fusion	croissant	0.35	10948
19	420945	-100000	100000	fusion	croissant	0.36	11300
17	404213	-100000	100000	fusion	decroissant	0.37	10892
23	381395	-100000	100000	fusion	croissant	0.34	10648
23	381395	-100000	100000	fusion	decroissant	0.36	10600
9	713446	-100000	100000	radix	croissant	0.51	18152
15	468259	-100000	100000	fusion	decroissant	0.43	12744
16	468914	-100000	100000	fusion	decroissant	0.41	12612
16	468914	-100000	100000	fusion	croissant	0.42	12672
12	956531	-100000	100000	insertion	croissant	0.50	17016
7	730981	-100000	100000	fusion	croissant	0.65	18816
9	713446	-100000	100000	radix	aleatoire	0.52	18148
21	328226	-100000	100000	fusion	aleatoire	0.35	9504
25	653882	-100000	100000	insertion	croissant	0.33	12032
19	420945	-100000	100000	fusion	decroissant	0.38	11372
11	769474	-100000	100000	radix	croissant	0.53	19344
20	351248	-100000	100000	fusion	aleatoire	0.39	9776
17	404213	-100000	100000	fusion	aleatoire	0.45	10948
16	468914	-100000	100000	fusion	aleatoire	0.51	12692
