iTest	taille	min	max	nom_tri	type_tab	temps	mem
1	31169	-10000	10000	radix	unique	0.00	2600
1	31169	-10000	10000	rapide	aleatoire	0.00	2392
1	31169	-10000	10000	rapide	croissant	0.01	2400
1	31169	-10000	10000	rapide	decroissant	0.01	2300
2	31761	-10000	10000	radix	unique	0.00	2600
2	31761	-10000	10000	rapide	croissant	0.00	2392
1	31169	-10000	10000	insertion	croissant	0.01	2496
2	31761	-10000	10000	rapide	decroissant	0.00	2404
1	31169	-10000	10000	insertion	unique	0.01	2468
2	31761	-10000	10000	rapide	aleatoire	0.01	2396
2	31761	-10000	10000	insertion	unique	0.01	2624
1	31169	-10000	10000	radix	decroissant	0.02	2592
1	31169	-10000	10000	radix	aleatoire	0.02	2600
1	31169	-10000	10000	radix	croissant	0.02	2588
1	31169	-10000	10000	fusion	croissant	0.02	2792
2	31761	-10000	10000	insertion	croissant	0.01	2464
2	31761	-10000	10000	radix	aleatoire	0.01	2580
2	31761	-10000	10000	radix	decroissant	0.02	2496
2	31761	-10000	10000	radix	croissant	0.02	2588
1	31169	-10000	10000	fusion	unique	0.03	2624
1	31169	-10000	10000	fusion	decroissant	0.02	2716
3	59149	-10000	10000	radix	unique	0.01	2708
5	3724	-10000	10000	rapide	croissant	0.00	1984
1	31169	-10000	10000	fusion	aleatoire	0.03	2792
2	31761	-10000	10000	fusion	croissant	0.02	2752
3	59149	-10000	10000	rapide	decroissant	0.01	2644
3	59149	-10000	10000	rapide	aleatoire	0.02	2644
2	31761	-10000	10000	fusion	unique	0.03	2720
5	3724	-10000	10000	insertion	croissant	0.00	2180
5	3724	-10000	10000	fusion	aleatoire	0.00	2232
2	31761	-10000	10000	fusion	decroissant	0.02	2620
5	3724	-10000	10000	rapide	decroissant	0.00	1988
5	3724	-10000	10000	radix	unique	0.00	2196
5	3724	-10000	10000	radix	aleatoire	0.00	2284
5	3724	-10000	10000	rapide	aleatoire	0.00	1992
3	59149	-10000	10000	rapide	croissant	0.01	2672
5	3724	-10000	10000	radix	decroissant	0.00	2332
5	3724	-10000	10000	fusion	decroissant	0.00	2156
5	3724	-10000	10000	radix	croissant	0.00	2332
3	59149	-10000	10000	insertion	unique	0.02	2708
3	59149	-10000	10000	radix	aleatoire	0.03	2784
2	31761	-10000	10000	fusion	aleatoire	0.03	2672
3	59149	-10000	10000	radix	croissant	0.03	2792
4	95185	-10000	10000	radix	unique	0.02	3236
5	3724	-10000	10000	insertion	aleatoire	0.02	2304
5	3724	-10000	10000	fusion	croissant	0.00	2380
7	13709	-10000	10000	rapide	decroissant	0.00	2268
3	59149	-10000	10000	fusion	croissant	0.05	2996
4	95185	-10000	10000	rapide	aleatoire	0.03	3188
4	95185	-10000	10000	rapide	decroissant	0.02	3180
7	13709	-10000	10000	rapide	aleatoire	0.00	2260
6	26036	-10000	10000	rapide	aleatoire	0.01	2048
6	26036	-10000	10000	rapide	decroissant	0.00	2184
5	3724	-10000	10000	fusion	unique	0.00	2184
7	13709	-10000	10000	insertion	unique	0.00	2456
6	26036	-10000	10000	insertion	croissant	0.01	2268
5	3724	-10000	10000	insertion	unique	0.00	2356
3	59149	-10000	10000	insertion	croissant	0.03	2732
7	13709	-10000	10000	fusion	decroissant	0.00	2444
4	95185	-10000	10000	rapide	croissant	0.02	3164
7	13709	-10000	10000	radix	unique	0.00	4404
7	13709	-10000	10000	radix	croissant	0.00	2556
7	13709	-10000	10000	radix	aleatoire	0.00	2604
6	26036	-10000	10000	fusion	unique	0.02	2464
6	26036	-10000	10000	radix	decroissant	0.01	2272
6	26036	-10000	10000	insertion	unique	0.01	2336
7	13709	-10000	10000	insertion	croissant	0.00	2356
7	13709	-10000	10000	rapide	croissant	0.00	2260
3	59149	-10000	10000	fusion	decroissant	0.05	2960
6	26036	-10000	10000	fusion	croissant	0.02	2324
4	95185	-10000	10000	insertion	unique	0.04	3360
3	59149	-10000	10000	radix	decroissant	0.03	2764
4	95185	-10000	10000	insertion	croissant	0.05	3416
7	13709	-10000	10000	radix	decroissant	0.00	2380
6	26036	-10000	10000	rapide	croissant	0.00	2016
6	26036	-10000	10000	radix	unique	0.00	2388
6	26036	-10000	10000	fusion	decroissant	0.02	2464
5	3724	-10000	10000	insertion	decroissant	0.04	2184
7	13709	-10000	10000	fusion	unique	0.01	2572
5	3724	-10000	10000	rapide	unique	0.07	2088
7	13709	-10000	10000	fusion	croissant	0.01	2444
3	59149	-10000	10000	fusion	unique	0.05	2920
8	81292	-10000	10000	radix	unique	0.02	3392
4	95185	-10000	10000	fusion	croissant	0.08	3832
6	26036	-10000	10000	radix	aleatoire	0.01	2340
6	26036	-10000	10000	fusion	aleatoire	0.02	2464
6	26036	-10000	10000	radix	croissant	0.01	2212
7	13709	-10000	10000	fusion	aleatoire	0.01	2476
10	9322	-10000	10000	fusion	decroissant	0.00	2312
4	95185	-10000	10000	fusion	unique	0.08	3832
3	59149	-10000	10000	fusion	aleatoire	0.06	2996
4	95185	-10000	10000	radix	decroissant	0.06	3396
4	95185	-10000	10000	radix	croissant	0.06	3424
4	95185	-10000	10000	radix	aleatoire	0.06	3420
4	95185	-10000	10000	fusion	aleatoire	0.09	3780
10	9322	-10000	10000	insertion	unique	0.00	2268
9	78486	-10000	10000	radix	unique	0.01	3132
9	78486	-10000	10000	rapide	decroissant	0.02	2840
8	81292	-10000	10000	insertion	croissant	0.03	3364
10	9322	-10000	10000	fusion	aleatoire	0.00	2340
10	9322	-10000	10000	rapide	decroissant	0.00	2168
8	81292	-10000	10000	rapide	aleatoire	0.03	3192
10	9322	-10000	10000	insertion	croissant	0.00	2212
10	9322	-10000	10000	radix	decroissant	0.00	2364
9	78486	-10000	10000	rapide	croissant	0.01	2928
9	78486	-10000	10000	insertion	croissant	0.04	3152
10	9322	-10000	10000	fusion	unique	0.00	2468
10	9322	-10000	10000	rapide	aleatoire	0.00	2204
10	9322	-10000	10000	radix	aleatoire	0.00	2500
9	78486	-10000	10000	insertion	unique	0.03	3128
10	9322	-10000	10000	fusion	croissant	0.00	2464
8	81292	-10000	10000	fusion	croissant	0.07	3712
8	81292	-10000	10000	fusion	decroissant	0.06	3756
8	81292	-10000	10000	radix	decroissant	0.05	3412
8	81292	-10000	10000	rapide	croissant	0.02	3112
11	40121	-10000	10000	radix	unique	0.01	2604
11	40121	-10000	10000	rapide	decroissant	0.01	2352
8	81292	-10000	10000	rapide	decroissant	0.02	3192
10	9322	-10000	10000	radix	croissant	0.00	2508
10	9322	-10000	10000	radix	unique	0.00	2448
10	9322	-10000	10000	rapide	croissant	0.00	2152
11	40121	-10000	10000	rapide	croissant	0.00	2372
8	81292	-10000	10000	radix	aleatoire	0.05	3424
8	81292	-10000	10000	insertion	unique	0.04	3296
9	78486	-10000	10000	rapide	aleatoire	0.02	2936
8	81292	-10000	10000	fusion	unique	0.07	3816
11	40121	-10000	10000	radix	decroissant	0.02	2588
12	36782	-10000	10000	rapide	croissant	0.00	2320
11	40121	-10000	10000	rapide	aleatoire	0.01	2396
11	40121	-10000	10000	insertion	croissant	0.02	2484
8	81292	-10000	10000	radix	croissant	0.05	3428
12	36782	-10000	10000	rapide	aleatoire	0.00	2396
4	95185	-10000	10000	fusion	decroissant	0.08	3856
11	40121	-10000	10000	insertion	unique	0.01	2480
9	78486	-10000	10000	radix	croissant	0.05	3184
9	78486	-10000	10000	fusion	croissant	0.06	3412
12	36782	-10000	10000	rapide	decroissant	0.01	2352
9	78486	-10000	10000	fusion	aleatoire	0.07	3428
9	78486	-10000	10000	radix	decroissant	0.05	3116
11	40121	-10000	10000	fusion	decroissant	0.03	2696
12	36782	-10000	10000	radix	unique	0.01	2496
9	78486	-10000	10000	radix	aleatoire	0.04	3168
11	40121	-10000	10000	fusion	croissant	0.03	2776
11	40121	-10000	10000	radix	croissant	0.02	2596
13	81582	-10000	10000	rapide	decroissant	0.02	3196
12	36782	-10000	10000	radix	aleatoire	0.02	2568
12	36782	-10000	10000	radix	croissant	0.02	2592
11	40121	-10000	10000	fusion	unique	0.03	2660
12	36782	-10000	10000	radix	decroissant	0.02	2500
9	78486	-10000	10000	fusion	decroissant	0.07	3460
8	81292	-10000	10000	fusion	aleatoire	0.08	3776
11	40121	-10000	10000	radix	aleatoire	0.02	2592
12	36782	-10000	10000	fusion	unique	0.02	2728
13	81582	-10000	10000	rapide	croissant	0.02	3172
13	81582	-10000	10000	radix	unique	0.01	3392
12	36782	-10000	10000	fusion	decroissant	0.03	2716
12	36782	-10000	10000	insertion	croissant	0.01	2592
13	81582	-10000	10000	insertion	unique	0.04	3368
9	78486	-10000	10000	fusion	unique	0.06	3424
15	18197	-10000	10000	insertion	unique	0.01	2256
14	76282	-10000	10000	radix	unique	0.01	3048
13	81582	-10000	10000	rapide	aleatoire	0.03	3144
15	18197	-10000	10000	radix	croissant	0.01	2328
15	18197	-10000	10000	insertion	croissant	0.00	2360
11	40121	-10000	10000	fusion	aleatoire	0.04	2660
14	76282	-10000	10000	insertion	unique	0.03	2992
15	18197	-10000	10000	rapide	decroissant	0.00	2128
12	36782	-10000	10000	fusion	aleatoire	0.04	2720
14	76282	-10000	10000	rapide	decroissant	0.01	2840
12	36782	-10000	10000	insertion	unique	0.01	2516
15	18197	-10000	10000	fusion	croissant	0.01	2460
16	2344	-10000	10000	insertion	croissant	0.00	2288
13	81582	-10000	10000	fusion	decroissant	0.07	3912
15	18197	-10000	10000	rapide	croissant	0.00	2124
15	18197	-10000	10000	rapide	aleatoire	0.00	2036
12	36782	-10000	10000	fusion	croissant	0.03	2692
14	76282	-10000	10000	rapide	croissant	0.02	2908
16	2344	-10000	10000	radix	croissant	0.00	2296
15	18197	-10000	10000	fusion	decroissant	0.01	2452
16	2344	-10000	10000	rapide	decroissant	0.00	2084
16	2344	-10000	10000	rapide	croissant	0.00	2084
13	81582	-10000	10000	radix	croissant	0.05	3432
16	2344	-10000	10000	radix	decroissant	0.00	2300
15	18197	-10000	10000	fusion	aleatoire	0.01	2532
15	18197	-10000	10000	radix	unique	0.00	2328
13	81582	-10000	10000	insertion	croissant	0.04	3368
15	18197	-10000	10000	radix	aleatoire	0.01	2256
16	2344	-10000	10000	fusion	croissant	0.00	2180
15	18197	-10000	10000	radix	decroissant	0.01	2332
16	2344	-10000	10000	radix	aleatoire	0.00	2300
16	2344	-10000	10000	fusion	aleatoire	0.00	2244
16	2344	-10000	10000	fusion	decroissant	0.00	2152
14	76282	-10000	10000	rapide	aleatoire	0.02	2796
16	2344	-10000	10000	insertion	unique	0.00	2288
15	18197	-10000	10000	fusion	unique	0.01	2436
16	2344	-10000	10000	radix	unique	0.00	2160
17	1946	-10000	10000	insertion	unique	0.00	2280
16	2344	-10000	10000	insertion	aleatoire	0.01	2176
16	2344	-10000	10000	rapide	aleatoire	0.00	2056
16	2344	-10000	10000	fusion	unique	0.00	2152
14	76282	-10000	10000	fusion	decroissant	0.06	3452
17	1946	-10000	10000	rapide	croissant	0.00	2076
14	76282	-10000	10000	radix	croissant	0.04	3176
14	76282	-10000	10000	insertion	croissant	0.04	3120
14	76282	-10000	10000	radix	decroissant	0.05	3164
17	1946	-10000	10000	fusion	aleatoire	0.00	2300
14	76282	-10000	10000	radix	aleatoire	0.04	3120
13	81582	-10000	10000	fusion	croissant	0.07	3756
17	1946	-10000	10000	radix	croissant	0.00	2280
17	1946	-10000	10000	insertion	aleatoire	0.00	2276
17	1946	-10000	10000	insertion	decroissant	0.01	2332
16	2344	-10000	10000	insertion	decroissant	0.01	2176
13	81582	-10000	10000	radix	aleatoire	0.05	3452
17	1946	-10000	10000	fusion	unique	0.00	2248
17	1946	-10000	10000	radix	unique	0.00	2284
18	10927	-10000	10000	fusion	croissant	0.00	2376
17	1946	-10000	10000	radix	aleatoire	0.00	2192
17	1946	-10000	10000	rapide	aleatoire	0.00	1972
17	1946	-10000	10000	rapide	decroissant	0.00	2076
17	1946	-10000	10000	radix	decroissant	0.00	2340
18	10927	-10000	10000	radix	unique	0.00	2292
13	81582	-10000	10000	radix	decroissant	0.05	3448
14	76282	-10000	10000	fusion	unique	0.05	3400
18	10927	-10000	10000	fusion	decroissant	0.01	2552
17	1946	-10000	10000	fusion	croissant	0.00	2248
19	7696	-10000	10000	fusion	croissant	0.00	2428
