iTest	taille	min	max	nom_tri	type_tab	temps	mem
2	600813	-100000	100000	rapide	croissant	0.15	11144
1	698193	-100000	100000	rapide	decroissant	0.18	12736
2	600813	-100000	100000	rapide	decroissant	0.16	11056
3	651434	-100000	100000	rapide	decroissant	0.16	11884
1	698193	-100000	100000	rapide	croissant	0.19	12752
3	651434	-100000	100000	rapide	croissant	0.17	11864
12	107520	-100000	100000	rapide	decroissant	0.02	3380
12	107520	-100000	100000	rapide	croissant	0.02	3368
10	246440	-100000	100000	rapide	croissant	0.05	5572
12	107520	-100000	100000	rapide	aleatoire	0.03	3380
7	506737	-100000	100000	rapide	decroissant	0.13	9652
10	246440	-100000	100000	rapide	decroissant	0.05	5540
6	779240	-100000	100000	rapide	decroissant	0.20	14012
8	524687	-100000	100000	rapide	decroissant	0.14	9564
12	107520	-100000	100000	radix	croissant	0.07	3952
3	651434	-100000	100000	rapide	aleatoire	0.25	11944
10	246440	-100000	100000	rapide	aleatoire	0.09	5480
9	365024	-100000	100000	rapide	croissant	0.10	7532
7	506737	-100000	100000	rapide	croissant	0.13	9568
12	107520	-100000	100000	radix	aleatoire	0.07	3964
12	107520	-100000	100000	radix	decroissant	0.07	3968
9	365024	-100000	100000	rapide	decroissant	0.10	7616
2	600813	-100000	100000	rapide	aleatoire	0.24	11164
9	365024	-100000	100000	rapide	aleatoire	0.13	7612
8	524687	-100000	100000	rapide	croissant	0.13	9788
12	107520	-100000	100000	fusion	croissant	0.09	4044
4	793269	-100000	100000	rapide	decroissant	0.22	14168
12	107520	-100000	100000	fusion	decroissant	0.10	3984
12	107520	-100000	100000	fusion	aleatoire	0.12	4064
4	793269	-100000	100000	rapide	croissant	0.20	14144
6	779240	-100000	100000	rapide	croissant	0.20	14008
7	506737	-100000	100000	rapide	aleatoire	0.20	9540
15	281872	-100000	100000	rapide	croissant	0.07	6288
15	281872	-100000	100000	rapide	decroissant	0.07	5980
1	698193	-100000	100000	rapide	aleatoire	0.28	12668
14	420334	-100000	100000	rapide	croissant	0.11	8384
5	978152	-100000	100000	rapide	decroissant	0.28	16964
14	420334	-100000	100000	rapide	decroissant	0.10	8384
5	978152	-100000	100000	rapide	croissant	0.25	17040
13	547498	-100000	100000	rapide	croissant	0.13	10320
8	524687	-100000	100000	rapide	aleatoire	0.20	9924
15	281872	-100000	100000	rapide	aleatoire	0.10	6096
18	232038	-100000	100000	rapide	decroissant	0.06	5564
13	547498	-100000	100000	rapide	decroissant	0.14	10392
18	232038	-100000	100000	rapide	croissant	0.05	5540
19	252419	-100000	100000	rapide	decroissant	0.06	5776
10	246440	-100000	100000	radix	croissant	0.17	7136
20	221455	-100000	100000	rapide	croissant	0.04	5220
10	246440	-100000	100000	radix	aleatoire	0.18	7128
18	232038	-100000	100000	rapide	aleatoire	0.08	5560
19	252419	-100000	100000	rapide	croissant	0.06	5816
20	221455	-100000	100000	rapide	decroissant	0.05	5308
14	420334	-100000	100000	rapide	aleatoire	0.15	8384
4	793269	-100000	100000	rapide	aleatoire	0.33	14264
20	221455	-100000	100000	rapide	aleatoire	0.07	5276
10	246440	-100000	100000	radix	decroissant	0.18	7116
10	246440	-100000	100000	fusion	croissant	0.22	7296
19	252419	-100000	100000	rapide	aleatoire	0.09	5828
6	779240	-100000	100000	rapide	aleatoire	0.32	13904
21	366681	-100000	100000	rapide	decroissant	0.08	7616
10	246440	-100000	100000	fusion	decroissant	0.22	7292
21	366681	-100000	100000	rapide	croissant	0.09	7588
13	547498	-100000	100000	rapide	aleatoire	0.21	10404
11	911382	-100000	100000	rapide	croissant	0.24	16024
28	154257	-100000	100000	rapide	decroissant	0.03	4148
9	365024	-100000	100000	radix	croissant	0.26	9960
25	250543	-100000	100000	rapide	decroissant	0.06	5784
28	154257	-100000	100000	rapide	croissant	0.03	4228
25	250543	-100000	100000	rapide	croissant	0.05	5812
22	388166	-100000	100000	rapide	decroissant	0.10	7772
15	281872	-100000	100000	radix	aleatoire	0.21	7916
22	388166	-100000	100000	rapide	croissant	0.09	7880
10	246440	-100000	100000	fusion	aleatoire	0.28	7292
3	651434	-100000	100000	radix	decroissant	0.48	18680
11	911382	-100000	100000	rapide	decroissant	0.25	16052
28	154257	-100000	100000	rapide	aleatoire	0.06	4220
36	9676	-100000	100000	rapide	decroissant	0.00	2100
35	47154	-100000	100000	rapide	decroissant	0.01	2664
9	365024	-100000	100000	radix	decroissant	0.26	9928
36	9676	-100000	100000	rapide	aleatoire	0.00	2208
36	9676	-100000	100000	rapide	croissant	0.00	2112
27	307643	-100000	100000	rapide	croissant	0.07	6420
21	366681	-100000	100000	rapide	aleatoire	0.13	7592
15	281872	-100000	100000	radix	croissant	0.20	7904
18	232038	-100000	100000	radix	croissant	0.15	6860
18	232038	-100000	100000	radix	aleatoire	0.17	6880
