iTest	taille	min	max	nom_tri	type_tab	temps	mem
3	4669	-10000	10000	insertion	u	0.00	2196
3	4669	-10000	10000	radix	u	0.00	2144
2	24743	-10000	10000	radix	u	0.00	2332
3	4669	-10000	10000	fusion	u	0.00	2312
2	24743	-10000	10000	insertion	u	0.01	2188
4	21845	-10000	10000	radix	u	0.00	2328
4	21845	-10000	10000	insertion	u	0.00	2216
2	24743	-10000	10000	fusion	u	0.01	2416
1	97037	-10000	10000	radix	u	0.02	3652
5	99591	-10000	10000	radix	u	0.01	3504
4	21845	-10000	10000	fusion	u	0.01	2444
9	17217	-10000	10000	radix	u	0.00	2324
1	97037	-10000	10000	insertion	u	0.03	3500
10	6497	-10000	10000	radix	u	0.00	3688
10	6497	-10000	10000	insertion	u	0.00	2168
7	57032	-10000	10000	radix	u	0.01	2856
9	17217	-10000	10000	insertion	u	0.01	2212
6	91780	-10000	10000	radix	u	0.02	3360
10	6497	-10000	10000	fusion	u	0.00	2408
7	57032	-10000	10000	insertion	u	0.01	2708
9	17217	-10000	10000	fusion	u	0.00	2408
12	25902	-10000	10000	radix	u	0.00	2268
8	89111	-10000	10000	radix	u	0.02	3312
11	52369	-10000	10000	radix	u	0.01	2852
6	91780	-10000	10000	insertion	u	0.04	3368
12	25902	-10000	10000	insertion	u	0.01	2244
11	52369	-10000	10000	insertion	u	0.02	2760
5	99591	-10000	10000	insertion	u	0.05	3648
7	57032	-10000	10000	fusion	u	0.04	2988
12	25902	-10000	10000	fusion	u	0.02	2476
8	89111	-10000	10000	insertion	u	0.04	3384
13	87051	-10000	10000	radix	u	0.02	3272
1	97037	-10000	10000	fusion	u	0.08	4040
11	52369	-10000	10000	fusion	u	0.04	2972
15	22879	-10000	10000	radix	u	0.00	2328
14	65306	-10000	10000	radix	u	0.01	3048
15	22879	-10000	10000	insertion	u	0.01	2328
6	91780	-10000	10000	fusion	u	0.06	3748
5	99591	-10000	10000	fusion	u	0.08	4116
8	89111	-10000	10000	fusion	u	0.07	3920
19	23257	-10000	10000	radix	u	0.00	2252
13	87051	-10000	10000	insertion	u	0.04	3392
14	65306	-10000	10000	insertion	u	0.03	3116
17	94837	-10000	10000	radix	u	0.02	3388
20	2914	-10000	10000	fusion	u	0.00	2272
15	22879	-10000	10000	fusion	u	0.02	2328
16	37075	-10000	10000	insertion	u	0.02	2600
3	4669	-10000	10000	rapide	u	0.10	2136
16	37075	-10000	10000	fusion	u	0.03	2708
16	37075	-10000	10000	radix	u	0.01	2516
18	62582	-10000	10000	insertion	u	0.03	3040
20	2914	-10000	10000	insertion	u	0.00	2168
21	17561	-10000	10000	insertion	u	0.00	2332
19	23257	-10000	10000	fusion	u	0.02	2408
19	23257	-10000	10000	insertion	u	0.01	2336
17	94837	-10000	10000	insertion	u	0.04	3308
21	17561	-10000	10000	radix	u	0.00	2328
13	87051	-10000	10000	fusion	u	0.08	3784
21	17561	-10000	10000	fusion	u	0.01	2528
18	62582	-10000	10000	fusion	u	0.05	3020
22	27955	-10000	10000	radix	u	0.00	2364
18	62582	-10000	10000	radix	u	0.01	3012
17	94837	-10000	10000	fusion	u	0.07	3780
20	2914	-10000	10000	radix	u	0.00	2184
14	65306	-10000	10000	fusion	u	0.04	3396
24	27003	-10000	10000	radix	u	0.00	2388
22	27955	-10000	10000	insertion	u	0.01	4404
22	27955	-10000	10000	fusion	u	0.01	2492
20	2914	-10000	10000	rapide	u	0.04	2160
23	82155	-10000	10000	radix	u	0.02	3388
24	27003	-10000	10000	fusion	u	0.02	2476
25	62402	-10000	10000	radix	u	0.01	2856
24	27003	-10000	10000	insertion	u	0.01	2356
25	62402	-10000	10000	insertion	u	0.03	2728
23	82155	-10000	10000	insertion	u	0.03	3388
27	5695	-10000	10000	radix	u	0.00	2184
26	27494	-10000	10000	insertion	u	0.01	2404
27	5695	-10000	10000	insertion	u	0.00	2156
30	5866	-10000	10000	insertion	u	0.00	2344
25	62402	-10000	10000	fusion	u	0.05	2972
23	82155	-10000	10000	fusion	u	0.07	3656
30	5866	-10000	10000	fusion	u	0.00	2432
