iTest	taille	min	max	nom_tri	type_tab	temps	mem
3	4669	-10000	10000	rapide	u	0.10	2136
20	2914	-10000	10000	rapide	u	0.04	2160
10	6497	-10000	10000	rapide	u	0.22	2220
27	5695	-10000	10000	rapide	u	0.16	2156
30	5866	-10000	10000	rapide	u	0.19	3512
50	5021	-10000	10000	rapide	u	0.14	1992
36	12414	-10000	10000	rapide	u	0.86	3560
9	17217	-10000	10000	rapide	u	1.63	4988
21	17561	-10000	10000	rapide	u	1.71	3180
4	21845	-10000	10000	rapide	u	2.66	3468
15	22879	-10000	10000	rapide	u	2.93	4804
41	22492	-10000	10000	rapide	u	2.84	4484
2	24743	-10000	10000	rapide	u	3.42	4228
12	25902	-10000	10000	rapide	u	3.78	5312
19	23257	-10000	10000	rapide	u	3.03	5532
49	22939	-10000	10000	rapide	u	2.96	4108
38	26205	-10000	10000	rapide	u	3.83	4244
33	25964	-10000	10000	rapide	u	3.81	5192
24	27003	-10000	10000	rapide	u	4.08	5764
32	28970	-10000	10000	rapide	u	4.73	5704
22	27955	-10000	10000	rapide	u	4.38	5440
26	27494	-10000	10000	rapide	u	4.26	5576
39	27851	-10000	10000	rapide	u	4.38	4480
16	37075	-10000	10000	rapide	u	7.73	6700
40	40951	-10000	10000	rapide	u	9.46	6804
42	41181	-10000	10000	rapide	u	9.49	5784
46	45719	-10000	10000	rapide	u	9.76	6952
43	54407	-10000	10000	rapide	u	10.83	6852
48	52202	-10000	10000	rapide	u	12.52	6272
7	57032	-10000	10000	rapide	u	13.71	7180
47	49332	-10000	10000	rapide	u	13.33	6436
11	52369	-10000	10000	rapide	u	14.29	7580
25	62402	-10000	10000	rapide	u	18.05	8428
14	65306	-10000	10000	rapide	u	17.74	7800
18	62582	-10000	10000	rapide	u	18.11	7876
45	64927	-10000	10000	rapide	u	18.75	8192
29	62004	-10000	10000	rapide	u	20.02	7352
23	82155	-10000	10000	rapide	u	22.44	8592
28	76492	-10000	10000	rapide	u	21.91	9652
31	68930	-10000	10000	rapide	u	22.09	7572
34	72591	-10000	10000	rapide	u	23.31	7576
37	79065	-10000	10000	rapide	u	23.52	9444
13	87051	-10000	10000	rapide	u	28.30	10436
35	93349	-10000	10000	rapide	u	28.39	10824
17	94837	-10000	10000	rapide	u	29.24	10668
8	89111	-10000	10000	rapide	u	28.84	9600
44	92944	-10000	10000	rapide	u	30.18	9244
1	97037	-10000	10000	rapide	u	30.02	10548
6	91780	-10000	10000	rapide	u	31.51	10648
5	99591	-10000	10000	rapide	u	32.50	11412
