iTest	taille	min	max	nom_tri	type_tab	indexChange	premierType	deuximeType	temps	mem
1	24446	-10000	10000	fusion	m	19295	d	a	0.02	2316
1	24446	-10000	10000	rapide	m	19295	d	a	0.01	2124
1	24446	-10000	10000	radix	m	19295	d	a	0.01	2304
2	540695	-10000	10000	fusion	m	53403	d	a	0.27	9964
2	540695	-10000	10000	rapide	m	53403	d	a	0.18	5976
2	540695	-10000	10000	radix	m	53403	d	a	0.21	9904
3	688005	-10000	10000	fusion	m	52224	d	a	0.36	12356
3	688005	-10000	10000	rapide	m	52224	d	a	0.24	7276
3	688005	-10000	10000	radix	m	52224	d	a	0.25	12124
4	532384	-10000	10000	fusion	m	333021	d	a	0.24	9920
4	532384	-10000	10000	rapide	m	333021	d	a	0.16	5892
4	532384	-10000	10000	radix	m	333021	d	a	0.19	9904
5	791246	-10000	10000	fusion	m	617571	d	a	0.35	13764
5	791246	-10000	10000	rapide	m	617571	d	a	0.23	7988
5	791246	-10000	10000	radix	m	617571	d	a	0.26	13728
6	772875	-10000	10000	fusion	m	64345	d	a	0.40	13612
6	772875	-10000	10000	rapide	m	64345	d	a	0.27	7800
6	772875	-10000	10000	radix	m	64345	d	a	0.28	13468
7	340570	-10000	10000	fusion	m	285932	d	a	0.15	6808
7	340570	-10000	10000	rapide	m	285932	d	a	0.08	6420
7	340570	-10000	10000	radix	m	285932	d	a	0.11	6808
8	862511	-10000	10000	fusion	m	39047	d	a	0.46	15028
8	862511	-10000	10000	rapide	m	39047	d	a	0.32	8524
8	862511	-10000	10000	radix	m	39047	d	a	0.31	14972
9	158778	-10000	10000	fusion	m	99464	d	a	0.08	4204
9	158778	-10000	10000	rapide	m	99464	d	a	0.05	3192
9	158778	-10000	10000	radix	m	99464	d	a	0.06	4108
10	879366	-10000	10000	fusion	m	64772	d	a	0.45	17096
10	879366	-10000	10000	rapide	m	64772	d	a	0.30	8580
10	879366	-10000	10000	radix	m	64772	d	a	0.32	14944
11	873698	-10000	10000	fusion	m	587278	d	a	0.39	14972
11	873698	-10000	10000	rapide	m	587278	d	a	0.28	8428
11	873698	-10000	10000	radix	m	587278	d	a	0.32	14992
12	905669	-10000	10000	fusion	m	369090	d	a	0.44	15488
12	905669	-10000	10000	rapide	m	369090	d	a	0.31	8728
12	905669	-10000	10000	radix	m	369090	d	a	0.31	15512
13	400029	-10000	10000	fusion	m	14747	d	a	0.21	7736
13	400029	-10000	10000	rapide	m	14747	d	a	0.13	4960
13	400029	-10000	10000	radix	m	14747	d	a	0.15	7556
14	10232	-10000	10000	fusion	m	1684	d	a	0.00	2300
14	10232	-10000	10000	rapide	m	1684	d	a	0.00	2240
14	10232	-10000	10000	radix	m	1684	d	a	0.00	2412
15	175551	-10000	10000	fusion	m	74723	d	a	0.09	4340
15	175551	-10000	10000	rapide	m	74723	d	a	0.05	3108
15	175551	-10000	10000	radix	m	74723	d	a	0.07	4212
16	806175	-10000	10000	fusion	m	239795	d	a	0.41	13920
16	806175	-10000	10000	rapide	m	239795	d	a	0.28	8044
16	806175	-10000	10000	radix	m	239795	d	a	0.30	13944
17	5213	-10000	10000	fusion	m	762	d	a	0.00	2368
17	5213	-10000	10000	rapide	m	762	d	a	0.00	2136
17	5213	-10000	10000	radix	m	762	d	a	0.00	2332
18	242000	-10000	10000	fusion	m	19044	d	a	0.13	5252
18	242000	-10000	10000	rapide	m	19044	d	a	0.08	3708
18	242000	-10000	10000	radix	m	19044	d	a	0.10	5276
19	671400	-10000	10000	fusion	m	508091	d	a	0.30	11888
19	671400	-10000	10000	rapide	m	508091	d	a	0.20	6988
19	671400	-10000	10000	radix	m	508091	d	a	0.23	12028
20	116301	-10000	10000	fusion	m	94692	d	a	0.06	3300
20	116301	-10000	10000	rapide	m	94692	d	a	0.04	2664
20	116301	-10000	10000	radix	m	94692	d	a	0.04	3116
21	494704	-10000	10000	fusion	m	279955	d	a	0.23	9312
21	494704	-10000	10000	rapide	m	279955	d	a	0.14	5628
21	494704	-10000	10000	radix	m	279955	d	a	0.18	9052
22	921884	-10000	10000	fusion	m	312202	d	a	0.46	16008
22	921884	-10000	10000	rapide	m	312202	d	a	0.32	9032
22	921884	-10000	10000	radix	m	312202	d	a	0.32	15752
23	749212	-10000	10000	fusion	m	121127	d	a	0.39	13564
23	749212	-10000	10000	rapide	m	121127	d	a	0.25	7520
23	749212	-10000	10000	radix	m	121127	d	a	0.27	13340
24	375132	-10000	10000	fusion	m	79856	d	a	0.18	7260
24	375132	-10000	10000	rapide	m	79856	d	a	0.12	4576
24	375132	-10000	10000	radix	m	79856	d	a	0.13	7336
25	886026	-10000	10000	fusion	m	821818	d	a	0.36	15268
25	886026	-10000	10000	rapide	m	821818	d	a	0.26	8840
25	886026	-10000	10000	radix	m	821818	d	a	0.30	15448
26	324659	-10000	10000	fusion	m	73558	d	a	0.18	6468
26	324659	-10000	10000	rapide	m	73558	d	a	0.10	4236
26	324659	-10000	10000	radix	m	73558	d	a	0.13	6524
27	664282	-10000	10000	fusion	m	441319	d	a	0.31	12008
27	664282	-10000	10000	rapide	m	441319	d	a	0.20	7032
27	664282	-10000	10000	radix	m	441319	d	a	0.23	11656
28	560073	-10000	10000	fusion	m	58276	d	a	0.29	10240
28	560073	-10000	10000	rapide	m	58276	d	a	0.18	6188
28	560073	-10000	10000	radix	m	58276	d	a	0.21	10140
29	690578	-10000	10000	fusion	m	460203	d	a	0.31	12256
29	690578	-10000	10000	rapide	m	460203	d	a	0.21	7268
29	690578	-10000	10000	radix	m	460203	d	a	0.24	12212
30	934126	-10000	10000	fusion	m	830584	d	a	0.39	16296
30	934126	-10000	10000	rapide	m	830584	d	a	0.28	9048
30	934126	-10000	10000	radix	m	830584	d	a	0.30	15952
