iTest	taille	min	max	nom_tri	type_tab	indexChange	premierType	deuximeType	temps	mem
1	28744	-10000	10000	radix	m	12094	d	d	0.01	2068
1	28744	-10000	10000	rapide	m	12094	d	d	0.00	2068
1	28744	-10000	10000	fusion	m	12094	d	d	0.02	2428
9	476236	-10000	10000	radix	m	253252	d	d	0.18	8844
9	476236	-10000	10000	rapide	m	253252	d	d	0.15	5380
9	476236	-10000	10000	fusion	m	253252	d	d	0.27	8760
2	524875	-10000	10000	radix	m	89770	d	d	0.20	9620
2	524875	-10000	10000	rapide	m	89770	d	d	0.15	6016
2	524875	-10000	10000	fusion	m	89770	d	d	0.25	9700
7	687848	-10000	10000	radix	m	218791	d	d	0.26	12116
7	687848	-10000	10000	rapide	m	218791	d	d	0.19	7084
7	687848	-10000	10000	fusion	m	218791	d	d	0.32	12400
8	669698	-10000	10000	radix	m	454739	d	d	0.25	11956
8	669698	-10000	10000	rapide	m	454739	d	d	0.19	6900
8	669698	-10000	10000	fusion	m	454739	d	d	0.31	11776
10	806042	-10000	10000	radix	m	302541	d	d	0.28	13928
10	806042	-10000	10000	rapide	m	302541	d	d	0.22	7936
10	806042	-10000	10000	fusion	m	302541	d	d	0.34	13920
5	809775	-10000	10000	radix	m	341906	d	d	0.29	13952
5	809775	-10000	10000	rapide	m	341906	d	d	0.25	8072
5	809775	-10000	10000	fusion	m	341906	d	d	0.37	14056
4	887068	-10000	10000	radix	m	550125	d	d	0.29	15268
4	887068	-10000	10000	rapide	m	550125	d	d	0.24	8772
4	887068	-10000	10000	fusion	m	550125	d	d	0.36	15264
3	899911	-10000	10000	radix	m	621428	d	d	0.30	15428
3	899911	-10000	10000	rapide	m	621428	d	d	0.26	8864
3	899911	-10000	10000	fusion	m	621428	d	d	0.37	15584
6	902005	-10000	10000	radix	m	21755	d	d	0.31	15492
6	902005	-10000	10000	rapide	m	21755	d	d	0.25	8828
6	902005	-10000	10000	fusion	m	21755	d	d	0.37	15544
3	33016	-10000	10000	radix	m	9127	d	d	0.02	2288
3	33016	-10000	10000	rapide	m	9127	d	d	0.01	2256
3	33016	-10000	10000	fusion	m	9127	d	d	0.02	2432
6	155582	-10000	10000	radix	m	36191	d	d	0.06	3720
6	155582	-10000	10000	rapide	m	36191	d	d	0.04	2916
6	155582	-10000	10000	fusion	m	36191	d	d	0.08	3980
1	216634	-10000	10000	radix	m	98405	d	d	0.08	4732
1	216634	-10000	10000	rapide	m	98405	d	d	0.06	3376
1	216634	-10000	10000	fusion	m	98405	d	d	0.11	4908
8	473558	-10000	10000	radix	m	346073	d	d	0.18	8832
8	473558	-10000	10000	rapide	m	346073	d	d	0.12	5492
8	473558	-10000	10000	fusion	m	346073	d	d	0.21	8872
2	657879	-10000	10000	radix	m	239837	d	d	0.23	11692
2	657879	-10000	10000	rapide	m	239837	d	d	0.17	6936
2	657879	-10000	10000	fusion	m	239837	d	d	0.29	11864
9	631884	-10000	10000	radix	m	130328	d	d	0.23	11208
9	631884	-10000	10000	rapide	m	130328	d	d	0.18	6748
9	631884	-10000	10000	fusion	m	130328	d	d	0.28	11392
4	684212	-10000	10000	radix	m	484437	d	d	0.26	12200
4	684212	-10000	10000	rapide	m	484437	d	d	0.19	7192
4	684212	-10000	10000	fusion	m	484437	d	d	0.32	12004
7	752267	-10000	10000	radix	m	303355	d	d	0.25	13188
7	752267	-10000	10000	rapide	m	303355	d	d	0.20	7800
7	752267	-10000	10000	fusion	m	303355	d	d	0.32	13180
5	738577	-10000	10000	radix	m	685119	d	d	0.27	12936
5	738577	-10000	10000	rapide	m	685119	d	d	0.21	7536
5	738577	-10000	10000	fusion	m	685119	d	d	0.34	12920
10	989708	-10000	10000	radix	m	119727	d	d	0.38	16816
10	989708	-10000	10000	rapide	m	119727	d	d	0.32	9564
10	989708	-10000	10000	fusion	m	119727	d	d	0.47	17056
9	224121	-10000	10000	radix	m	100849	d	d	0.10	5284
9	224121	-10000	10000	rapide	m	100849	d	d	0.07	3900
9	224121	-10000	10000	fusion	m	100849	d	d	0.11	4900
7	223103	-10000	10000	radix	m	7532	d	d	0.09	4728
7	223103	-10000	10000	rapide	m	7532	d	d	0.06	3376
7	223103	-10000	10000	fusion	m	7532	d	d	0.11	4884
10	440545	-10000	10000	radix	m	120779	d	d	0.16	8344
10	440545	-10000	10000	rapide	m	120779	d	d	0.11	5212
10	440545	-10000	10000	fusion	m	120779	d	d	0.20	8260
8	586617	-10000	10000	radix	m	164910	d	d	0.22	10428
8	586617	-10000	10000	rapide	m	164910	d	d	0.16	6200
8	586617	-10000	10000	fusion	m	164910	d	d	0.26	10776
4	604766	-10000	10000	radix	m	368671	d	d	0.22	10956
4	604766	-10000	10000	rapide	m	368671	d	d	0.16	6472
4	604766	-10000	10000	fusion	m	368671	d	d	0.27	10856
5	740789	-10000	10000	radix	m	424102	d	d	0.26	12992
5	740789	-10000	10000	rapide	m	424102	d	d	0.21	7544
5	740789	-10000	10000	fusion	m	424102	d	d	0.31	12940
3	738063	-10000	10000	radix	m	143899	d	d	0.27	12948
3	738063	-10000	10000	rapide	m	143899	d	d	0.22	7544
3	738063	-10000	10000	fusion	m	143899	d	d	0.31	12992
6	777131	-10000	10000	radix	m	464064	d	d	0.28	13492
6	777131	-10000	10000	rapide	m	464064	d	d	0.22	7784
6	777131	-10000	10000	fusion	m	464064	d	d	0.33	13412
1	757410	-10000	10000	radix	m	156182	d	d	0.26	13180
1	757410	-10000	10000	rapide	m	156182	d	d	0.21	7796
1	757410	-10000	10000	fusion	m	156182	d	d	0.32	13460
2	773848	-10000	10000	radix	m	50401	d	d	0.26	13468
2	773848	-10000	10000	rapide	m	50401	d	d	0.20	7688
2	773848	-10000	10000	fusion	m	50401	d	d	0.33	13608
