iTest	taille	min	max	nom_tri	type_tab	temps	mem
12	26938	-1000	10000	f	a	0.02	2444
16	66832	-1000	10000	f	a	0.03	3368
17	1752618	-1000	10000	f	a	0.96	42852
2	2139192	-1000	10000	f	a	1.19	51712
7	4530256	-1000	10000	f	a	2.53	107748
18	4665932	-1000	10000	f	a	2.59	111092
10	4873977	-1000	10000	f	a	2.86	115872
9	6028672	-1000	10000	f	a	3.34	142972
1	6086454	-1000	10000	f	a	3.35	144224
20	6829568	-1000	10000	f	a	3.69	161880
6	7187626	-1000	10000	f	a	4.06	170364
11	7428419	-1000	10000	f	a	4.08	175792
8	8029261	-1000	10000	f	a	4.39	189692
14	7993728	-1000	10000	f	a	4.41	188916
5	8332402	-1000	10000	f	a	4.48	196812
3	8234983	-1000	10000	f	a	4.53	194756
13	8725827	-1000	10000	f	a	4.67	206256
19	8662519	-1000	10000	f	a	4.84	204580
4	9327004	-1000	10000	f	a	5.04	220380
15	9362928	-1000	10000	f	a	5.05	221176
