iTest	taille	min	max	nom_tri	type_tab	temps	mem
14	273690	-1000	10000	f	c	0.10	8212
8	934307	-1000	10000	f	c	0.40	23424
18	1846500	-1000	10000	f	c	0.79	44920
7	2013864	-1000	10000	f	c	0.86	48808
4	3359869	-1000	10000	f	c	1.47	80564
11	3639910	-1000	10000	f	c	1.58	87032
16	3688427	-1000	10000	f	c	1.64	88248
6	4223705	-1000	10000	f	c	1.84	100640
5	5308953	-1000	10000	f	c	2.31	125924
3	6070307	-1000	10000	f	c	2.65	143872
9	6505351	-1000	10000	f	c	2.80	153968
2	6810726	-1000	10000	f	c	2.84	161472
10	7593057	-1000	10000	f	c	3.26	179896
17	7693078	-1000	10000	f	c	3.29	182100
19	8080526	-1000	10000	f	c	3.39	191072
1	8796049	-1000	10000	f	c	3.72	207888
13	9009593	-1000	10000	f	c	3.71	212716
15	9293168	-1000	10000	f	c	3.83	219608
20	9533330	-1000	10000	f	c	3.98	225248
12	9636781	-1000	10000	f	c	4.01	227496
