iTest	taille	min	max	nom_tri	type_tab	temps	mem
3	86929	-1000	10000	f	d	0.05	3828
13	82298	-1000	10000	f	d	0.03	3688
1	1524590	-1000	10000	f	d	0.64	37288
18	1487422	-1000	10000	f	d	0.63	36428
5	1700301	-1000	10000	f	d	0.73	41268
14	1683670	-1000	10000	f	d	0.74	41236
12	2285586	-1000	10000	f	d	0.95	55248
20	2283413	-1000	10000	f	d	0.99	55364
10	2793622	-1000	10000	f	d	1.18	67008
16	5276912	-1000	10000	f	d	2.25	125404
11	6108179	-1000	10000	f	d	2.66	144880
19	6403905	-1000	10000	f	d	2.65	151920
6	6992220	-1000	10000	f	d	2.87	165688
17	6956036	-1000	10000	f	d	2.94	164880
7	7183514	-1000	10000	f	d	2.96	170324
9	7971632	-1000	10000	f	d	3.24	188492
15	7979376	-1000	10000	f	d	3.30	188392
2	8664679	-1000	10000	f	d	3.53	204704
8	9267827	-1000	10000	f	d	3.78	218944
4	9276601	-1000	10000	f	d	3.86	219316
