iTest	taille	min	max	nom_tri	type_tab	temps	mem
26	131698	-100000	100000	f	u	0.11	4688
6	230707	-100000	100000	f	u	0.18	7144
20	187249	-100000	100000	f	u	0.15	6292
45	149222	-100000	100000	f	u	0.13	5360
9	1165320	-100000	100000	f	u	0.97	29180
19	1152630	-100000	100000	f	u	1.07	28752
33	723710	-100000	100000	f	u	0.66	18720
30	1217363	-100000	100000	f	u	1.12	30296
47	849331	-100000	100000	f	u	0.77	21596
10	1574991	-100000	100000	f	u	1.43	38556
43	1514629	-100000	100000	f	u	1.39	37160
7	2048586	-100000	100000	f	u	1.86	49812
22	1633268	-100000	100000	f	u	1.49	39888
27	2612865	-100000	100000	f	u	2.42	62992
38	2274706	-100000	100000	f	u	2.09	54772
4	2694448	-100000	100000	f	u	2.45	64828
16	3270542	-100000	100000	f	u	3.09	78356
1	3518262	-100000	100000	f	u	3.26	84176
36	4506765	-100000	100000	f	u	4.19	107344
14	4045130	-100000	100000	f	u	3.85	96536
13	4486911	-100000	100000	f	u	4.24	106988
12	4806170	-100000	100000	f	u	4.55	114148
3	5507980	-100000	100000	f	u	5.28	130756
15	4905322	-100000	100000	f	u	4.75	116568
46	5024475	-100000	100000	f	u	4.64	119248
18	5677842	-100000	100000	f	u	5.51	134564
8	6435680	-100000	100000	f	u	5.45	152488
41	5690104	-100000	100000	f	u	5.18	134876
48	5125671	-100000	100000	f	u	4.90	121912
17	5717150	-100000	100000	f	u	5.40	135648
31	5537435	-100000	100000	f	u	5.36	131696
35	7074004	-100000	100000	f	u	5.89	167580
21	7013131	-100000	100000	f	u	5.90	165956
29	7345945	-100000	100000	f	u	6.21	173836
32	7369249	-100000	100000	f	u	6.18	174448
25	6713077	-100000	100000	f	u	6.22	159048
11	7496191	-100000	100000	f	u	6.18	177544
42	8490609	-100000	100000	f	u	6.55	200924
39	8493336	-100000	100000	f	u	6.89	200484
37	8021788	-100000	100000	f	u	6.74	189808
28	7608329	-100000	100000	f	u	6.50	180176
5	8283091	-100000	100000	f	u	7.23	195880
34	9526337	-100000	100000	f	u	6.84	225012
50	8435968	-100000	100000	f	u	6.88	199352
2	9126948	-100000	100000	f	u	7.26	215376
49	8862439	-100000	100000	f	u	6.55	209380
40	9946695	-100000	100000	f	u	6.96	235008
23	9797073	-100000	100000	f	u	7.45	231272
44	9617533	-100000	100000	f	u	7.13	226900
24	9118269	-100000	100000	f	u	7.42	215532
