iTest	taille	min	max	nom_tri	type_tab	temps	mem
2	14917	-1000	10000	i	c	0.00	2476
23	51071	-1000	10000	i	c	0.02	2852
22	116893	-1000	10000	i	c	0.05	3916
17	175903	-1000	10000	i	c	0.07	4556
28	247921	-1000	10000	i	c	0.13	5768
9	429619	-1000	10000	i	c	0.20	8468
35	172382	-1000	10000	i	c	0.09	4688
11	475338	-1000	10000	i	c	0.22	9296
1	671393	-1000	10000	i	c	0.29	12416
3	691107	-1000	10000	i	c	0.32	12836
4	695786	-1000	10000	i	c	0.33	12956
38	167184	-1000	10000	i	c	0.09	4556
6	581903	-1000	10000	i	c	0.27	10952
13	691219	-1000	10000	i	c	0.31	12888
37	289424	-1000	10000	i	c	0.15	6476
25	582961	-1000	10000	i	c	0.31	11040
27	553939	-1000	10000	i	c	0.30	10636
14	599500	-1000	10000	i	c	0.32	11468
34	478923	-1000	10000	i	c	0.25	9588
24	666234	-1000	10000	i	c	0.35	12456
47	82238	-1000	10000	i	c	0.04	3360
29	556615	-1000	10000	i	c	0.30	10492
5	838045	-1000	10000	i	c	0.42	14844
15	812217	-1000	10000	i	c	0.41	14712
32	626503	-1000	10000	i	c	0.33	11548
12	805452	-1000	10000	i	c	0.43	14520
36	635040	-1000	10000	i	c	0.29	11996
18	796887	-1000	10000	i	c	0.43	14472
39	485914	-1000	10000	i	c	0.26	9532
21	874127	-1000	10000	i	c	0.42	15568
8	929597	-1000	10000	i	c	0.47	16508
49	231828	-1000	10000	i	c	0.08	5528
50	270443	-1000	10000	i	c	0.09	6192
33	760806	-1000	10000	i	c	0.40	13840
42	541726	-1000	10000	i	c	0.24	10232
16	957644	-1000	10000	i	c	0.45	16888
26	821268	-1000	10000	i	c	0.43	14664
45	374573	-1000	10000	i	c	0.17	7728
30	918655	-1000	10000	i	c	0.44	16276
7	948183	-1000	10000	i	c	0.50	16772
10	963523	-1000	10000	i	c	0.49	16896
20	845967	-1000	10000	i	c	0.46	15044
31	897984	-1000	10000	i	c	0.43	15956
41	591243	-1000	10000	i	c	0.29	11092
48	334759	-1000	10000	i	c	0.17	7284
19	967913	-1000	10000	i	c	0.51	17208
40	635439	-1000	10000	i	c	0.31	11820
44	740928	-1000	10000	i	c	0.25	13508
46	601483	-1000	10000	i	c	0.19	11408
43	826861	-1000	10000	i	c	0.28	14844
