iTest	taille	min	max	nom_tri	type_tab	temps	mem
9	4034	-100000	100000	i	u	0.00	2156
3	197554	-100000	100000	i	u	0.05	4964
26	1541	-100000	100000	i	u	0.00	2116
24	16130	-100000	100000	i	u	0.01	2496
6	175634	-100000	100000	i	u	0.06	4688
23	25944	-100000	100000	i	u	0.01	2332
33	3652	-100000	100000	i	u	0.00	2180
34	4911	-100000	100000	i	u	0.00	2216
10	270435	-100000	100000	i	u	0.13	6192
11	284319	-100000	100000	i	u	0.12	6536
4	452172	-100000	100000	i	u	0.18	8908
18	237599	-100000	100000	i	u	0.11	5756
37	148075	-100000	100000	i	u	0.08	4424
39	171514	-100000	100000	i	u	0.09	4736
45	156295	-100000	100000	i	u	0.08	4416
22	368408	-100000	100000	i	u	0.20	7708
25	390521	-100000	100000	i	u	0.21	8036
16	467860	-100000	100000	i	u	0.25	9276
8	600420	-100000	100000	i	u	0.29	11428
35	433616	-100000	100000	i	u	0.22	8712
28	446443	-100000	100000	i	u	0.24	9032
7	598916	-100000	100000	i	u	0.29	11288
47	179446	-100000	100000	i	u	0.09	4576
36	441442	-100000	100000	i	u	0.24	8784
14	761000	-100000	100000	i	u	0.33	14000
1	972256	-100000	100000	i	u	0.37	17276
49	248740	-100000	100000	i	u	0.14	6012
40	659391	-100000	100000	i	u	0.27	12416
38	499929	-100000	100000	i	u	0.25	9776
17	652526	-100000	100000	i	u	0.36	12080
29	597288	-100000	100000	i	u	0.32	11428
19	709872	-100000	100000	i	u	0.38	13136
5	857708	-100000	100000	i	u	0.42	15520
46	663948	-100000	100000	i	u	0.21	12428
43	426842	-100000	100000	i	u	0.23	8492
12	905014	-100000	100000	i	u	0.39	16116
20	717009	-100000	100000	i	u	0.39	13016
42	421461	-100000	100000	i	u	0.23	8560
15	883747	-100000	100000	i	u	0.41	15712
31	698395	-100000	100000	i	u	0.32	12880
13	994487	-100000	100000	i	u	0.42	17504
2	991361	-100000	100000	i	u	0.41	17496
32	889981	-100000	100000	i	u	0.38	15976
44	477939	-100000	100000	i	u	0.25	9240
41	722541	-100000	100000	i	u	0.33	13212
21	860225	-100000	100000	i	u	0.44	15520
30	973548	-100000	100000	i	u	0.41	17148
27	960664	-100000	100000	i	u	0.43	16892
48	828972	-100000	100000	i	u	0.28	14896
50	899424	-100000	100000	i	u	0.29	15896
