iTest	taille	min	max	nom_tri	type_tab	temps	mem
24	316051	-100000	100000	x	a	0.24	8996
4	487637	-100000	100000	x	a	0.35	12780
29	413747	-100000	100000	x	a	0.32	11224
21	1101907	-100000	100000	x	a	0.85	27320
25	1094321	-100000	100000	x	a	0.81	27036
48	891216	-100000	100000	x	a	0.68	22512
42	1425107	-100000	100000	x	a	1.10	34704
18	2229732	-100000	100000	x	a	1.68	53888
12	2292542	-100000	100000	x	a	1.78	55176
10	2142990	-100000	100000	x	a	1.68	51652
49	1817587	-100000	100000	x	a	1.42	43892
8	3595508	-100000	100000	x	a	2.81	85720
46	2375955	-100000	100000	x	a	1.89	57336
44	3367333	-100000	100000	x	a	2.68	80456
40	4340218	-100000	100000	x	a	3.37	103436
7	4312352	-100000	100000	x	a	3.42	102624
50	4236788	-100000	100000	x	a	3.37	100756
27	4783672	-100000	100000	x	a	3.74	113760
14	4988215	-100000	100000	x	a	3.92	118372
43	4751862	-100000	100000	x	a	3.79	112960
41	4712825	-100000	100000	x	a	3.69	111876
9	4667655	-100000	100000	x	a	3.65	110984
13	5526268	-100000	100000	x	a	4.24	130964
23	5628860	-100000	100000	x	a	4.43	133300
3	5623876	-100000	100000	x	a	4.45	133312
37	5960628	-100000	100000	x	a	4.12	141272
33	5319685	-100000	100000	x	a	4.24	126124
31	5583678	-100000	100000	x	a	4.41	132416
45	5146961	-100000	100000	x	a	3.88	122112
30	5767148	-100000	100000	x	a	4.51	136716
36	6704474	-100000	100000	x	a	4.71	158596
2	6835624	-100000	100000	x	a	4.73	161684
17	7721520	-100000	100000	x	a	4.95	182404
5	6736867	-100000	100000	x	a	5.22	159448
16	6638205	-100000	100000	x	a	4.86	157040
6	8070055	-100000	100000	x	a	5.66	190776
1	7610652	-100000	100000	x	a	5.43	180012
20	8045071	-100000	100000	x	a	5.92	190064
34	7475739	-100000	100000	x	a	4.98	176640
47	5853319	-100000	100000	x	a	4.12	138664
26	8222382	-100000	100000	x	a	5.68	194292
35	7722740	-100000	100000	x	a	5.38	182672
28	9003934	-100000	100000	x	a	5.68	212580
19	8798138	-100000	100000	x	a	5.78	207664
32	9376502	-100000	100000	x	a	5.77	221436
39	9140893	-100000	100000	x	a	5.76	215660
15	9662058	-100000	100000	x	a	5.71	227944
22	9812556	-100000	100000	x	a	5.91	231428
11	9289789	-100000	100000	x	a	6.26	219252
38	9491855	-100000	100000	x	a	5.52	224108
