iTest	taille	min	max	nom_tri	type_tab	temps	mem
12	269562	-100000	100000	x	c	0.11	7840
20	394611	-100000	100000	x	c	0.24	10504
13	1245646	-100000	100000	x	c	0.90	30416
5	3220435	-100000	100000	x	c	1.41	77008
16	3313257	-100000	100000	x	c	1.42	79236
10	3826745	-100000	100000	x	c	1.92	91168
18	4247168	-100000	100000	x	c	1.94	101036
7	5378972	-100000	100000	x	c	2.34	127548
11	5481014	-100000	100000	x	c	2.41	130132
9	4608907	-100000	100000	x	c	2.55	109484
1	6384854	-100000	100000	x	c	2.73	151228
19	6092339	-100000	100000	x	c	2.71	144344
3	6326396	-100000	100000	x	c	2.80	149736
6	5908037	-100000	100000	x	c	2.91	140140
15	6740106	-100000	100000	x	c	2.88	159616
14	7683538	-100000	100000	x	c	3.21	181760
2	8045497	-100000	100000	x	c	3.46	190208
17	8479054	-100000	100000	x	c	3.47	200456
8	8930396	-100000	100000	x	c	3.76	211168
4	9012277	-100000	100000	x	c	4.07	212644
