iTest	taille	min	max	nom_tri	type_tab	temps	mem
12	453905	-100000	100000	x	d	0.30	12092
38	450083	-100000	100000	x	d	0.32	12000
23	708097	-100000	100000	x	d	0.52	17864
43	1270471	-100000	100000	x	d	0.97	31124
1	2384791	-100000	100000	x	d	1.78	57428
9	2048078	-100000	100000	x	d	1.52	49512
47	1830693	-100000	100000	x	d	1.40	44132
35	1939005	-100000	100000	x	d	1.49	46724
32	2367594	-100000	100000	x	d	1.78	57024
15	2788868	-100000	100000	x	d	2.08	66972
4	2683290	-100000	100000	x	d	2.02	64312
10	2661613	-100000	100000	x	d	2.01	63860
16	4192469	-100000	100000	x	d	3.16	99888
28	3941968	-100000	100000	x	d	3.01	93932
31	3382840	-100000	100000	x	d	2.57	80740
2	4329341	-100000	100000	x	d	3.27	103008
5	4228217	-100000	100000	x	d	3.20	100580
45	4355414	-100000	100000	x	d	3.23	103680
44	5476683	-100000	100000	x	d	4.17	129840
46	5328932	-100000	100000	x	d	4.07	126452
18	6278779	-100000	100000	x	d	4.65	148608
14	6124949	-100000	100000	x	d	4.64	145136
27	6667383	-100000	100000	x	d	4.74	157772
21	6521907	-100000	100000	x	d	4.90	154352
34	5490074	-100000	100000	x	d	4.17	130208
8	6424488	-100000	100000	x	d	4.69	152084
19	7717921	-100000	100000	x	d	5.18	182348
48	6446207	-100000	100000	x	d	4.83	152532
41	6449490	-100000	100000	x	d	4.85	152748
50	6311309	-100000	100000	x	d	4.80	149412
30	7110004	-100000	100000	x	d	5.06	168200
37	7594502	-100000	100000	x	d	5.32	179608
20	8189561	-100000	100000	x	d	5.61	193568
29	7270686	-100000	100000	x	d	5.53	172012
3	8499506	-100000	100000	x	d	5.52	200764
36	8695788	-100000	100000	x	d	5.69	205236
7	9591551	-100000	100000	x	d	5.96	226416
11	8804166	-100000	100000	x	d	5.49	207960
42	8421704	-100000	100000	x	d	5.26	198880
6	8677417	-100000	100000	x	d	5.77	204908
24	7902338	-100000	100000	x	d	5.61	186604
17	8988384	-100000	100000	x	d	6.00	212244
25	8550558	-100000	100000	x	d	5.49	201800
33	8961811	-100000	100000	x	d	5.92	211516
22	9058016	-100000	100000	x	d	5.61	213764
26	8258773	-100000	100000	x	d	5.83	195032
13	9568244	-100000	100000	x	d	5.60	225844
40	8422699	-100000	100000	x	d	5.27	198872
49	9312418	-100000	100000	x	d	6.00	219864
39	9161697	-100000	100000	x	d	5.73	216372
