iTest	taille	min	max	nom_tri	type_tab	temps	mem
11	147876	-100000	100000	x	u	0.02	4364
16	643116	-100000	100000	x	u	0.16	12152
18	953832	-100000	100000	x	u	0.24	16900
14	978910	-100000	100000	x	u	0.24	17084
28	886426	-100000	100000	x	u	0.24	15964
42	48160	-100000	100000	x	u	0.01	2852
22	1335043	-100000	100000	x	u	0.36	22936
10	1629536	-100000	100000	x	u	0.40	27496
12	1801293	-100000	100000	x	u	0.45	30332
45	284064	-100000	100000	x	u	0.07	6560
8	1783915	-100000	100000	x	u	0.47	29632
23	1766241	-100000	100000	x	u	0.47	29380
3	2145164	-100000	100000	x	u	0.56	35436
40	1531735	-100000	100000	x	u	0.42	25992
43	1839122	-100000	100000	x	u	0.51	30672
37	1556816	-100000	100000	x	u	0.43	28240
50	1365195	-100000	100000	x	u	0.37	23464
49	1044497	-100000	100000	x	u	0.28	18172
9	4124849	-100000	100000	x	u	1.08	66244
13	4399604	-100000	100000	x	u	1.16	70648
5	3779280	-100000	100000	x	u	1.03	60976
32	3891271	-100000	100000	x	u	1.08	62584
36	3986805	-100000	100000	x	u	1.08	64308
24	6468295	-100000	100000	x	u	1.55	103092
19	5413582	-100000	100000	x	u	1.49	86528
26	6326655	-100000	100000	x	u	1.55	100844
30	5292348	-100000	100000	x	u	1.44	84660
46	4948726	-100000	100000	x	u	1.18	79340
7	6206277	-100000	100000	x	u	1.61	99020
27	5847280	-100000	100000	x	u	1.58	93444
6	6953056	-100000	100000	x	u	1.89	110800
35	5932324	-100000	100000	x	u	1.42	94692
29	8346366	-100000	100000	x	u	1.86	132480
25	7823285	-100000	100000	x	u	2.03	124304
33	6633839	-100000	100000	x	u	1.76	105640
15	8244345	-100000	100000	x	u	1.78	131004
17	7541330	-100000	100000	x	u	1.83	119968
39	6429330	-100000	100000	x	u	1.71	102616
38	9549509	-100000	100000	x	u	2.00	151148
2	7625818	-100000	100000	x	u	1.86	121284
4	7927039	-100000	100000	x	u	2.18	125892
20	7751783	-100000	100000	x	u	2.06	123236
21	8217224	-100000	100000	x	u	2.20	130512
34	9678259	-100000	100000	x	u	2.29	153184
44	8095113	-100000	100000	x	u	1.78	128500
1	9409716	-100000	100000	x	u	2.35	149032
47	8556294	-100000	100000	x	u	2.01	135784
31	9277689	-100000	100000	x	u	2.13	147068
41	8899869	-100000	100000	x	u	2.13	141196
48	9706020	-100000	100000	x	u	2.07	153648
