iTest	taille	min	max	nom_tri	type_tab	temps	mem
8	1045	-100000	100000	r	u	0.00	2084
6	1776	-100000	100000	r	u	0.01	1968
20	665	-100000	100000	r	u	0.00	1956
17	2989	-100000	100000	r	u	0.03	2108
1	15921	-100000	100000	r	u	0.84	3104
10	18944	-100000	100000	r	u	1.04	5192
7	21251	-100000	100000	r	u	1.33	5164
3	28521	-100000	100000	r	u	2.35	4708
13	34719	-100000	100000	r	u	3.51	6000
5	35518	-100000	100000	r	u	3.59	4768
12	39435	-100000	100000	r	u	4.45	4944
11	40010	-100000	100000	r	u	4.47	6432
16	48702	-100000	100000	r	u	6.43	5896
14	50030	-100000	100000	r	u	6.78	7668
2	59679	-100000	100000	r	u	9.32	8308
15	59744	-100000	100000	r	u	9.47	8352
4	68294	-100000	100000	r	u	11.68	8192
18	73639	-100000	100000	r	u	13.38	8356
19	82212	-100000	100000	r	u	16.51	9092
9	97903	-100000	100000	r	u	22.89	9568
