iTest	taille	min	max	nom_tri	type_tab	indexChange	premierType	deuximeType	temps	mem
1	116787	-10000	10000	i	m	60771	u	u	0.04	2564
6	51594	-10000	10000	i	m	19913	u	u	0.02	2252
12	1691	-10000	10000	i	m	1217	u	u	0.00	2316
12	1691	-10000	10000	x	m	1217	u	u	0.00	2144
6	51594	-10000	10000	x	m	19913	u	u	0.02	2204
1	116787	-10000	10000	x	m	60771	u	u	0.03	3188
12	1691	-10000	10000	r	m	1217	u	u	0.00	2120
4	277664	-10000	10000	i	m	165075	u	u	0.08	3900
5	294036	-10000	10000	i	m	276924	u	u	0.08	4296
12	1691	-10000	10000	f	m	1217	u	u	0.00	2280
8	228597	-10000	10000	i	m	18224	u	u	0.07	3688
10	198935	-10000	10000	i	m	138850	u	u	0.06	3352
7	441247	-10000	10000	i	m	105162	u	u	0.14	5292
18	131015	-10000	10000	i	m	63002	u	u	0.05	2928
2	542946	-10000	10000	i	m	127701	u	u	0.21	5892
8	228597	-10000	10000	x	m	18224	u	u	0.09	5020
13	399951	-10000	10000	i	m	81335	u	u	0.15	4988
10	198935	-10000	10000	x	m	138850	u	u	0.11	4488
5	294036	-10000	10000	x	m	276924	u	u	0.12	5952
17	294701	-10000	10000	i	m	224734	u	u	0.12	4228
4	277664	-10000	10000	x	m	165075	u	u	0.14	5808
19	308510	-10000	10000	i	m	230928	u	u	0.13	4216
23	278418	-10000	10000	i	m	214512	u	u	0.12	3984
18	131015	-10000	10000	x	m	63002	u	u	0.05	3440
27	225460	-10000	10000	i	m	162839	u	u	0.15	3864
25	507779	-10000	10000	i	m	147857	u	u	0.18	5652
14	667847	-10000	10000	i	m	375172	u	u	0.26	6984
26	615591	-10000	10000	i	m	296876	u	u	0.18	6544
22	368608	-10000	10000	i	m	247061	u	u	0.20	4684
3	830105	-10000	10000	i	m	810895	u	u	0.35	8256
30	457181	-10000	10000	i	m	6772	u	u	0.20	5396
7	441247	-10000	10000	x	m	105162	u	u	0.20	8280
17	294701	-10000	10000	x	m	224734	u	u	0.16	6160
24	457359	-10000	10000	i	m	10300	u	u	0.28	5504
20	593467	-10000	10000	i	m	90010	u	u	0.30	6544
16	643590	-10000	10000	i	m	36253	u	u	0.33	6744
19	308510	-10000	10000	x	m	230928	u	u	0.17	6320
27	225460	-10000	10000	x	m	162839	u	u	0.12	5132
23	278418	-10000	10000	x	m	214512	u	u	0.18	5776
15	886176	-10000	10000	i	m	823061	u	u	0.37	8692
13	399951	-10000	10000	x	m	81335	u	u	0.23	7588
11	757107	-10000	10000	i	m	746495	u	u	0.41	7796
9	781945	-10000	10000	i	m	737581	u	u	0.43	8252
2	542946	-10000	10000	x	m	127701	u	u	0.24	9848
29	500126	-10000	10000	i	m	339499	u	u	0.31	5760
28	924940	-10000	10000	i	m	301518	u	u	0.35	9116
22	368608	-10000	10000	x	m	247061	u	u	0.23	7072
24	457359	-10000	10000	x	m	10300	u	u	0.15	8628
25	507779	-10000	10000	x	m	147857	u	u	0.27	9372
26	615591	-10000	10000	x	m	296876	u	u	0.28	11160
21	997240	-10000	10000	i	m	645642	u	u	0.52	9536
20	593467	-10000	10000	x	m	90010	u	u	0.20	10888
3	830105	-10000	10000	x	m	810895	u	u	0.31	14508
30	457181	-10000	10000	x	m	6772	u	u	0.29	8572
14	667847	-10000	10000	x	m	375172	u	u	0.37	11964
16	643590	-10000	10000	x	m	36253	u	u	0.32	11420
9	781945	-10000	10000	x	m	737581	u	u	0.32	13992
29	500126	-10000	10000	x	m	339499	u	u	0.33	9336
15	886176	-10000	10000	x	m	823061	u	u	0.41	15420
11	757107	-10000	10000	x	m	746495	u	u	0.50	13204
28	924940	-10000	10000	x	m	301518	u	u	0.44	15964
21	997240	-10000	10000	x	m	645642	u	u	0.45	17012
6	51594	-10000	10000	r	m	19913	u	u	6.58	5880
6	51594	-10000	10000	f	m	19913	u	u	0.05	2240
1	116787	-10000	10000	r	m	60771	u	u	32.75	6704
1	116787	-10000	10000	f	m	60771	u	u	0.12	3084
18	131015	-10000	10000	r	m	63002	u	u	41.12	7944
18	131015	-10000	10000	f	m	63002	u	u	0.14	3564
10	198935	-10000	10000	f	m	138850	u	u	0.21	4628
25	507779	-10000	10000	f	m	147857	u	u	0.55	9568
4	277664	-10000	10000	f	m	165075	u	u	0.29	5676
17	294701	-10000	10000	f	m	224734	u	u	0.31	6224
19	308510	-10000	10000	f	m	230928	u	u	0.33	6308
27	225460	-10000	10000	f	m	162839	u	u	0.24	5356
22	368608	-10000	10000	f	m	247061	u	u	0.22	7348
23	278418	-10000	10000	f	m	214512	u	u	0.17	6008
8	228597	-10000	10000	f	m	18224	u	u	0.14	5204
26	615591	-10000	10000	f	m	296876	u	u	0.35	10976
29	500126	-10000	10000	f	m	339499	u	u	0.28	9384
28	924940	-10000	10000	f	m	301518	u	u	0.47	15956
5	294036	-10000	10000	f	m	276924	u	u	0.14	6120
14	667847	-10000	10000	f	m	375172	u	u	0.34	11708
13	399951	-10000	10000	f	m	81335	u	u	0.22	7604
30	457181	-10000	10000	f	m	6772	u	u	0.26	8752
7	441247	-10000	10000	f	m	105162	u	u	0.21	8316
24	457359	-10000	10000	f	m	10300	u	u	0.21	8752
2	542946	-10000	10000	f	m	127701	u	u	0.24	9432
20	593467	-10000	10000	f	m	90010	u	u	0.27	10824
16	643590	-10000	10000	f	m	36253	u	u	0.30	11436
21	997240	-10000	10000	f	m	645642	u	u	0.42	17276
9	781945	-10000	10000	f	m	737581	u	u	0.33	14116
11	757107	-10000	10000	f	m	746495	u	u	0.32	13196
3	830105	-10000	10000	f	m	810895	u	u	0.34	14464
15	886176	-10000	10000	f	m	823061	u	u	0.35	15440
