iTest	taille	min	max	nom_tri	type_tab	temps	mem
3	64407	-50	900000	i	c	0.03	3112
3	64407	-50	900000	f	c	0.06	3232
3	64407	-50	900000	f	d	0.05	3232
3	64407	-50	900000	f	a	0.07	3324
5	175976	-50	900000	i	c	0.09	4736
7	217904	-50	900000	i	c	0.11	5384
4	352914	-50	900000	i	c	0.17	7572
5	175976	-50	900000	f	d	0.16	5832
6	192221	-50	900000	i	c	0.10	4872
9	160320	-50	900000	i	c	0.08	4416
7	217904	-50	900000	f	c	0.20	6688
10	291001	-50	900000	i	c	0.13	6528
1	388481	-50	900000	i	c	0.21	8048
6	192221	-50	900000	f	d	0.15	6144
5	175976	-50	900000	f	c	0.16	6032
5	175976	-50	900000	f	a	0.17	6028
9	160320	-50	900000	f	a	0.16	5276
9	160320	-50	900000	f	c	0.13	5284
2	404405	-50	900000	i	c	0.21	8344
1	388481	-50	900000	f	d	0.35	10908
6	192221	-50	900000	f	a	0.20	6292
7	217904	-50	900000	f	d	0.19	6696
7	217904	-50	900000	f	a	0.23	6712
2	404405	-50	900000	f	d	0.35	11100
6	192221	-50	900000	f	c	0.15	6152
4	352914	-50	900000	f	c	0.31	9884
9	160320	-50	900000	f	d	0.13	5316
8	475433	-50	900000	i	c	0.25	9172
4	352914	-50	900000	f	d	0.32	9848
4	352914	-50	900000	f	a	0.37	9792
10	291001	-50	900000	f	d	0.24	8580
1	388481	-50	900000	f	c	0.34	10836
2	404405	-50	900000	f	c	0.35	11072
10	291001	-50	900000	f	c	0.26	8436
1	388481	-50	900000	f	a	0.41	10824
2	404405	-50	900000	f	a	0.40	11120
10	291001	-50	900000	f	a	0.30	8452
8	475433	-50	900000	f	d	0.45	12680
8	475433	-50	900000	f	c	0.40	12728
8	475433	-50	900000	f	a	0.48	12680
3	64407	-50	900000	i	a	4.44	3044
3	64407	-50	900000	i	d	9.95	3116
9	160320	-50	900000	i	a	26.53	4440
5	175976	-50	900000	i	a	32.47	4712
6	192221	-50	900000	i	a	49.69	4972
7	217904	-50	900000	i	a	49.91	5400
9	160320	-50	900000	i	d	51.85	4424
5	175976	-50	900000	i	d	69.12	4700
6	192221	-50	900000	i	d	85.55	4952
10	291001	-50	900000	i	a	87.02	6440
7	217904	-50	900000	i	d	104.82	5496
4	352914	-50	900000	i	a	122.28	7560
1	388481	-50	900000	i	a	144.97	8052
10	291001	-50	900000	i	d	164.24	6548
2	404405	-50	900000	i	a	167.46	8336
8	475433	-50	900000	i	a	212.75	9172
4	352914	-50	900000	i	d	226.09	7548
1	388481	-50	900000	i	d	262.12	8072
2	404405	-50	900000	i	d	297.48	8308
8	475433	-50	900000	i	d	385.96	9264
