iTest	taille	min	max	nom_tri	type_tab	temps	mem
1	987079	-1000	10000	i	a	702.26	17572
2	697432	-1000	10000	i	a	351.35	12784
3	918890	-1000	10000	i	a	609.98	16276
4	601643	-1000	10000	i	a	261.54	11360
5	885738	-1000	10000	i	a	566.00	16892
6	946902	-1000	10000	i	a	646.74	16688
7	715030	-1000	10000	i	a	369.02	13516
8	184678	-1000	10000	i	a	24.67	4964
9	458511	-1000	10000	i	a	151.81	9120
10	905164	-1000	10000	i	a	607.95	16168
11	5150	-1000	10000	i	a	0.02	2336
12	66650	-1000	10000	i	a	3.91	3128
13	154506	-1000	10000	i	a	20.90	4440
14	161772	-1000	10000	i	a	23.56	4344
15	282558	-1000	10000	i	a	68.51	6548
16	313066	-1000	10000	i	a	83.11	7008
17	360408	-1000	10000	i	a	108.09	7512
18	480006	-1000	10000	i	a	183.48	9568
19	631165	-1000	10000	i	a	305.52	11816
20	428558	-1000	10000	i	a	132.46	8580
