iTest	taille	min	max	nom_tri	type_tab	temps	mem
5	5971	-1000	10000	i	d	0.10	2344
11	17234	-1000	10000	i	d	0.60	2328
3	57991	-1000	10000	i	d	11.00	2780
20	166316	-1000	10000	i	d	58.61	4636
19	195659	-1000	10000	i	d	79.06	4956
15	207146	-1000	10000	i	d	86.15	5268
14	261164	-1000	10000	i	d	159.30	6020
8	359299	-1000	10000	i	d	249.54	7536
1	395662	-1000	10000	i	d	301.32	8136
7	435191	-1000	10000	i	d	361.29	9264
13	463219	-1000	10000	i	d	403.59	9316
18	487601	-1000	10000	i	d	469.21	9452
10	575383	-1000	10000	i	d	606.99	10904
4	620632	-1000	10000	i	d	688.93	12364
6	649661	-1000	10000	i	d	757.76	12164
16	770034	-1000	10000	i	d	1011.10	13920
17	810507	-1000	10000	i	d	1117.60	14652
9	884254	-1000	10000	i	d	1295.01	15656
2	904276	-1000	10000	i	d	1340.84	16736
12	997715	-1000	10000	i	d	1610.50	17496
