iTest	taille	min	max	nom_tri	type_tab	temps	mem
9	1803476	-100000	100000	x	a	0.90	44124
3	2829164	-100000	100000	x	a	1.56	67752
1	3475398	-100000	100000	x	a	1.74	83008
11	4204707	-100000	100000	x	a	1.93	99996
10	4001820	-100000	100000	x	a	2.10	95364
19	4117194	-100000	100000	x	a	2.26	97980
4	5733595	-100000	100000	x	a	2.67	135900
2	4573798	-100000	100000	x	a	2.75	108708
18	6663656	-100000	100000	x	a	3.02	157768
7	6353549	-100000	100000	x	a	3.49	150688
5	7690900	-100000	100000	x	a	3.63	182072
12	8128702	-100000	100000	x	a	4.10	191968
13	8149663	-100000	100000	x	a	4.10	192856
16	8894568	-100000	100000	x	a	4.07	210320
8	7891514	-100000	100000	x	a	4.15	186516
17	9198745	-100000	100000	x	a	4.17	217488
15	8418857	-100000	100000	x	a	4.32	198836
6	9937410	-100000	100000	x	a	4.45	234448
14	9691797	-100000	100000	x	a	4.53	228788
20	9997656	-100000	100000	x	a	4.61	236104
