iTest	taille	min	max	nom_tri	type_tab	temps	mem
17	362704	-100000	100000	r	a	0.11	7396
20	955427	-100000	100000	r	a	0.29	16640
8	1900243	-100000	100000	r	a	0.70	31300
19	2052499	-100000	100000	r	a	0.80	33840
4	2238684	-100000	100000	r	a	0.94	36536
14	2548142	-100000	100000	r	a	0.94	41560
16	2709522	-100000	100000	r	a	0.96	44024
2	3151321	-100000	100000	r	a	1.12	50984
1	3482092	-100000	100000	r	a	1.25	56120
12	3759833	-100000	100000	r	a	1.29	60472
9	3837664	-100000	100000	r	a	1.35	61628
3	3372410	-100000	100000	r	a	1.42	54524
5	5710347	-100000	100000	r	a	2.06	90868
13	5991220	-100000	100000	r	a	2.27	95372
11	6409875	-100000	100000	r	a	2.46	101976
7	6807988	-100000	100000	r	a	2.58	108288
15	6594649	-100000	100000	r	a	2.70	104860
18	9285182	-100000	100000	r	a	3.63	146916
6	9558476	-100000	100000	r	a	3.70	151140
10	9975331	-100000	100000	r	a	3.92	157536
