iTest	taille	min	max	nom_tri	type_tab	temps	mem
12	748370	-100000	100000	r	c	0.17	13484
3	993889	-100000	100000	r	c	0.21	17244
20	1032696	-100000	100000	r	c	0.21	17804
2	1771519	-100000	100000	r	c	0.43	29440
1	2177638	-100000	100000	r	c	0.53	35848
7	2758687	-100000	100000	r	c	0.61	44916
19	2811540	-100000	100000	r	c	0.60	45648
10	2700670	-100000	100000	r	c	0.63	43844
14	2965616	-100000	100000	r	c	0.63	48208
13	2127465	-100000	100000	r	c	0.66	34892
18	2645701	-100000	100000	r	c	0.64	43020
5	3284857	-100000	100000	r	c	0.75	53112
16	3322988	-100000	100000	r	c	0.87	53628
8	4556392	-100000	100000	r	c	1.10	73092
6	5038242	-100000	100000	r	c	1.23	80468
15	5537245	-100000	100000	r	c	1.38	88388
9	6411185	-100000	100000	r	c	1.63	101848
4	6177065	-100000	100000	r	c	1.73	98252
11	8525572	-100000	100000	r	c	2.24	135140
17	8616575	-100000	100000	r	c	2.32	136308
