iTest	taille	min	max	nom_tri	type_tab	temps	mem
2	18855	-100000	100000	r	d	0.00	2060
8	57702	-100000	100000	r	d	0.01	2668
11	673019	-100000	100000	r	d	0.17	12180
12	2232801	-100000	100000	r	d	0.48	36676
6	2865934	-100000	100000	r	d	0.66	46612
4	3387494	-100000	100000	r	d	0.78	54736
15	3499969	-100000	100000	r	d	0.81	56404
16	3314887	-100000	100000	r	d	0.90	53632
9	3489008	-100000	100000	r	d	1.07	56388
17	4267809	-100000	100000	r	d	1.05	68328
7	4447119	-100000	100000	r	d	1.08	71144
20	4392559	-100000	100000	r	d	1.05	70360
13	5132310	-100000	100000	r	d	1.27	81820
19	5753151	-100000	100000	r	d	1.60	93656
1	6263029	-100000	100000	r	d	1.82	99568
18	6846675	-100000	100000	r	d	1.83	108820
5	8265770	-100000	100000	r	d	2.38	131020
3	9051891	-100000	100000	r	d	2.55	143312
14	8927548	-100000	100000	r	d	2.64	141176
10	9536238	-100000	100000	r	d	2.77	150740
