iTest	taille	min	max	nom_tri	type_tab	indexChange	premierType	deuximeType	temps	mem
1	765203	-10000	10000	fusion	m	551884	c	d	0.33	13392
1	765203	-10000	10000	rapide	m	551884	c	d	0.20	7688
1	765203	-10000	10000	radix	m	551884	c	d	0.26	13448
2	173325	-10000	10000	fusion	m	114767	c	d	0.08	4048
2	173325	-10000	10000	rapide	m	114767	c	d	0.04	3108
2	173325	-10000	10000	radix	m	114767	c	d	0.06	4248
3	386380	-10000	10000	fusion	m	227964	c	d	0.17	7736
3	386380	-10000	10000	rapide	m	227964	c	d	0.09	4752
3	386380	-10000	10000	radix	m	227964	c	d	0.15	7320
4	114052	-10000	10000	fusion	m	73920	c	d	0.05	3104
4	114052	-10000	10000	rapide	m	73920	c	d	0.03	2660
4	114052	-10000	10000	radix	m	73920	c	d	0.05	3136
5	65674	-10000	10000	fusion	m	19681	c	d	0.03	2520
5	65674	-10000	10000	rapide	m	19681	c	d	0.02	2396
5	65674	-10000	10000	radix	m	19681	c	d	0.03	2396
6	879759	-10000	10000	fusion	m	148922	c	d	0.36	15184
6	879759	-10000	10000	rapide	m	148922	c	d	0.25	8776
6	879759	-10000	10000	radix	m	148922	c	d	0.29	15004
7	844048	-10000	10000	fusion	m	342602	c	d	0.35	14660
7	844048	-10000	10000	rapide	m	342602	c	d	0.23	8332
7	844048	-10000	10000	radix	m	342602	c	d	0.27	14644
8	656321	-10000	10000	fusion	m	608845	c	d	0.29	11728
8	656321	-10000	10000	rapide	m	608845	c	d	0.17	7012
8	656321	-10000	10000	radix	m	608845	c	d	0.21	11816
9	295578	-10000	10000	fusion	m	233729	c	d	0.13	6132
9	295578	-10000	10000	rapide	m	233729	c	d	0.07	4200
9	295578	-10000	10000	radix	m	233729	c	d	0.11	6276
10	564814	-10000	10000	fusion	m	112255	c	d	0.25	10452
10	564814	-10000	10000	rapide	m	112255	c	d	0.14	6280
10	564814	-10000	10000	radix	m	112255	c	d	0.19	10512
11	265086	-10000	10000	fusion	m	241727	c	d	0.11	5676
11	265086	-10000	10000	rapide	m	241727	c	d	0.06	3972
11	265086	-10000	10000	radix	m	241727	c	d	0.11	5540
12	202895	-10000	10000	fusion	m	42547	c	d	0.09	4596
12	202895	-10000	10000	rapide	m	42547	c	d	0.05	3452
12	202895	-10000	10000	radix	m	42547	c	d	0.07	4748
13	934915	-10000	10000	fusion	m	683994	c	d	0.39	16100
13	934915	-10000	10000	rapide	m	683994	c	d	0.26	8980
13	934915	-10000	10000	radix	m	683994	c	d	0.32	16016
14	742759	-10000	10000	fusion	m	28214	c	d	0.31	13004
14	742759	-10000	10000	rapide	m	28214	c	d	0.21	7440
14	742759	-10000	10000	radix	m	28214	c	d	0.25	12916
15	473867	-10000	10000	fusion	m	113546	c	d	0.20	8932
15	473867	-10000	10000	rapide	m	113546	c	d	0.12	5492
15	473867	-10000	10000	radix	m	113546	c	d	0.17	8996
16	499896	-10000	10000	fusion	m	110248	c	d	0.21	9368
16	499896	-10000	10000	rapide	m	110248	c	d	0.13	5768
16	499896	-10000	10000	radix	m	110248	c	d	0.17	9372
17	646927	-10000	10000	fusion	m	577578	c	d	0.26	11700
17	646927	-10000	10000	rapide	m	577578	c	d	0.17	6808
17	646927	-10000	10000	radix	m	577578	c	d	0.24	11384
18	31123	-10000	10000	fusion	m	15890	c	d	0.02	4152
18	31123	-10000	10000	rapide	m	15890	c	d	0.00	2096
18	31123	-10000	10000	radix	m	15890	c	d	0.01	2304
