iTest	taille	min	max	nom_tri	type_tab	temps	mem
1	16980	-10000	10000	rapide	decroissant	0.00	2020
1	16980	-10000	10000	rapide	croissant	0.00	1900
1	16980	-10000	10000	rapide	aleatoire	0.00	1944
1	16980	-10000	10000	radix	constant	0.00	2124
1	16980	-10000	10000	insertion	croissant	0.00	2244
1	16980	-10000	10000	insertion	constant	0.00	2252
1	16980	-10000	10000	fusion	croissant	0.01	2316
1	16980	-10000	10000	radix	aleatoire	0.00	2248
1	16980	-10000	10000	fusion	constant	0.01	2432
1	16980	-10000	10000	radix	croissant	0.00	2256
1	16980	-10000	10000	radix	decroissant	0.00	2304
1	16980	-10000	10000	fusion	decroissant	0.01	2380
1	16980	-10000	10000	fusion	aleatoire	0.01	2224
2	77988	-10000	10000	rapide	croissant	0.01	2308
2	77988	-10000	10000	rapide	decroissant	0.01	2396
2	77988	-10000	10000	radix	constant	0.01	2612
2	77988	-10000	10000	rapide	aleatoire	0.02	2368
3	91935	-10000	10000	rapide	croissant	0.01	2632
3	91935	-10000	10000	rapide	decroissant	0.02	2644
3	91935	-10000	10000	radix	constant	0.01	2864
3	91935	-10000	10000	rapide	aleatoire	0.02	2348
2	77988	-10000	10000	insertion	constant	0.03	2588
4	43124	-10000	10000	radix	constant	0.00	2176
2	77988	-10000	10000	insertion	croissant	0.03	2568
6	26099	-10000	10000	rapide	croissant	0.00	2052
4	43124	-10000	10000	radix	decroissant	0.02	2196
5	53669	-10000	10000	rapide	croissant	0.01	2096
2	77988	-10000	10000	radix	decroissant	0.04	2636
3	91935	-10000	10000	insertion	croissant	0.03	2864
2	77988	-10000	10000	radix	aleatoire	0.04	2620
6	26099	-10000	10000	insertion	constant	0.01	2320
3	91935	-10000	10000	insertion	constant	0.04	2856
4	43124	-10000	10000	rapide	croissant	0.00	2016
6	26099	-10000	10000	rapide	aleatoire	0.00	2136
4	43124	-10000	10000	rapide	aleatoire	0.01	2128
4	43124	-10000	10000	insertion	constant	0.01	2320
